No.,MW,AMW,nBM,RBN,nDB,nN,nO,nF,nCL,nBR,nHM,nX,H%,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nBnz,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr06,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,DBI,CENT,Wap,PHI,MAXDN,MWC07,SRW05,piPC10,X5v,Vindex,Yindex,CIC1,VE1_A,VE3sign_A,J_D,EE_D,VE3sign_D,VE3sign_X,WiA_Dt,EE_Dt,VE3sign_Dt,H_D/Dt,J_D/Dt,VE1_D/Dt,VE3sign_D/Dt,VE3sign_Dz(Z),VE3sign_Dz(v),SM1_Dz(p),SpMax_B(m),VE3sign_B(m),SpMax_B(p),SpMax_B(s),ATS3s,ATSC1m,ATSC1p,ATSC1s,SpMax2_Bh(m),SpMax3_Bh(m),SpMax2_Bh(s),P_VSA_LogP_1,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_MR_3,P_VSA_MR_4,P_VSA_v_4,P_VSA_i_1,P_VSA_i_2,P_VSA_s_1,P_VSA_s_3,P_VSA_s_4,P_VSA_ppp_L,P_VSA_ppp_P,P_VSA_ppp_N,SpMax_EA(dm),SpAD_EA(dm),SpDiam_AEA(dm),Chi1_EA(dm),SM15_EA(ed),SM13_EA(dm),SM05_AEA(dm),SM07_AEA(dm),SM09_AEA(dm),Eig02_EA(dm),nCrs,nCrt,nCconj,nROR,C-005,C-006,C-016,C-025,C-026,H-047,H-051,H-052,H-053,O-060,SdCH2,SssCH2,SdssC,SaasC,SdNH,SsssN,SdsN,SaaN,StN,SaaO,SdS,SddssS,NssssC,NssO,CATS2D_04_DD,CATS2D_05_DD,CATS2D_08_DD,CATS2D_04_DA,CATS2D_02_DL,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_01_AN,CATS2D_02_AL,CATS2D_08_AL,CATS2D_01_LL,CATS2D_03_LL,CATS2D_08_LL,T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..F),T(S..Cl),T(P..Cl),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),F01[C-S],F02[C-S],F02[N-N],F02[O-S],F03[C-P],F03[Cl-Cl],F04[N-O],F04[O-S],F05[C-S],F05[C-Cl],F05[N-O],F05[O-Cl],F05[F-F],F06[C-S],F06[C-F],F06[C-Cl],F06[O-F],F07[C-F],F07[N-O],F08[C-Cl],F09[C-F],F09[C-Cl],F10[C-F],F10[O-O],MLOGP2,ALOGP,ALOGP2,BLTF96,Class
1,145.17,8.065,11,0,0,1,1,0,0,0,0,0,38.9,50,5.6,5.6,0,2,3,1,1,0,0,0,39.689,0,0,0,34.168,0,0,1.225,71,940,1.337,1.428,8.283,0,4.756,0.688,0.45,1.476,1.507,3.157,-1.034,1.9932,25.965,-1.902,-0.942,7.745,77.566,-1.772,217.767,14.3087,2.693,-2.744,-1.633,-1.18,-1.03,3.895,-1.09,3.837,6.314,4.873,3.059,1.546,5.639,3.354,2.959,4.938,0,13.765,0,0,0,0,0,61.146,0,4.717,56.429,49.954,0,0,0,0,5.08,1.163,34.45,0,-2,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0.239,0,0,0,4.031,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.857,1.749,3.059,-3.06,Antibacterial
2,604.81,6.952,13,19,7,10,6,0,0,0,0,0,50.6,31,11.5,6.9,0,1,1,0,1,0,0,0,200.963,0,0,0,0,0,0,6.892,5009,10114,17.931,2.924,9.321,0,5.177,2.417,0.345,0.924,2.757,5.101,-3.155,2.8554,364.4,-3.671,-5.903,8.853,391.286,-4.084,986.26,23.3069,5.171,-1.933,-3.173,-3.488,-2.653,3.623,-4.068,3.57,7.478,6.478,19.91,6.574,40.886,3.797,3.681,7.453,17.65,36.757,8.074,0,0,0,0,114.919,0,38.463,76.456,80.89,131.589,0.91,2.375,25.6,5.839,27.451,34.295,11.398,1.486,1.166,0.978,1.987,0,0,0,0,0,2,0,1,0,13,0,11,0,0,0,1.508,-3.667,0.692,0,0,7.705,0,0,0,0,0,0,0,0,2,4,0,4,1,0,0,2,2,2,2,9,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0.183,-0.253,0.064,-1.03,Antibacterial
3,530.37,9.144,11,2,5,2,9,0,2,0,2,2,39.7,37.9,3.4,15.5,3.4,4,10,3,1,0,0,0,244.302,0,0,0,300.152,0,0,4.528,1585,55239,6.355,4.265,10.179,0,7.824,4.727,0.265,0.839,1.495,4.956,-4.838,1.9051,171.726,-11.858,-2.437,15.6,531.486,-4.102,2431.934,26.4745,5.045,-5.329,-3.206,-3.655,-2.535,4.281,-4.614,3.936,7.451,6.533,14.037,5.564,64.329,4.058,3.876,7.427,25.618,15.867,41.084,94.731,0,0,0,81.761,0,27.714,85.673,119.582,32.897,0,1.91,12.065,6.382,37.295,42.133,8.345,1.434,0.928,0.409,1.048,2,4,7,0,2,0,0,2,1,11,0,3,1,0,0,0,-7.364,-0.643,0,1.317,0,0,0,0,0,0,2,1,2,4,0,11,8,0,3,10,6,6,0,16,12,6,13,3,0,0,36,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,1,0,0,0,8,0,0,2,5,0,4,0,2,1.376,NA,NA,-0.39,Antibacterial
4,611.72,9.71,15,10,10,6,9,0,0,0,3,0,36.5,34.9,9.5,14.3,0,5,7,2,0,0,81.67,217.833,238.022,0,167.414,173.487,0,0,0,5.148,3504,67606,8.582,6.027,9.903,3.045,7.16,4.697,0.161,0.449,1.303,4.195,-5.57,1.2734,284.105,-3.395,-2.573,12.123,488.005,-1.523,1515.997,14.2586,5.377,-1.577,-2.593,-3.382,-2.655,4.715,-3.343,3.792,7.776,6.295,11.53,6.348,53.297,4.221,4.111,7.438,10.883,53.963,34.803,39.096,0,0,66.54,91.641,3.043,108.606,51.555,96.424,32.897,3.043,3.435,31.998,6.932,31.033,38.336,10.892,1.548,1.286,0.847,2.9,4,0,10,0,1,2,2,0,0,10,0,2,0,2,0,3.222,-0.386,0.359,0,1.113,3.704,4.022,0,0,0,-5.111,0,3,0,0,0,2,1,8,8,5,8,4,4,7,18,5,3,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,4,2,4,0,3,0,0,10,0,0,0,0,3,0,0,0,0,2,2.643,NA,NA,-2.77,Antibacterial
5,262.24,9.043,9,2,3,2,5,0,0,0,0,0,34.5,41.4,6.9,17.2,0,3,6,2,1,0,0,34.22,66.801,0,0,53.858,57.343,0,0,2.739,346,6633,2.767,3.008,9.197,2.398,6.735,1.381,0.309,0.96,1.022,3.795,-2.449,1.8019,68.414,-3.346,-1.171,10.772,194.418,-2.06,651.81,17.4669,3.774,-2.138,-2.138,-2.46,-2.104,3.938,-2.336,3.825,7.483,5.608,3.965,2.569,20.616,3.626,3.308,7.422,8.825,58.094,23.542,0,0,0,0,61.763,0,33.985,30.779,30.963,0,0.91,1.437,7.519,5.836,27.658,36.538,0,-0.63,-1,-1.481,1.392,0,0,3,0,0,1,0,1,3,4,0,3,0,2,0,0.53,-2.453,1.758,0,1.46,3.852,0,0,0,0,0,0,2,0,0,0,2,0,2,3,6,2,2,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527,1.391,1.936,-2.01,Antibacterial
6,355.43,9.873,15,7,4,3,5,0,0,0,2,0,36.1,36.1,8.3,13.9,0,2,2,0,1,0,0,78.106,86.111,0,0,0,0,0,0,4.183,717,4206,5.822,4.659,8.918,2.398,6.107,2.087,0.251,0.666,1.097,3.767,-1.081,1.6961,127.244,-1.834,-2.377,7.15,162.774,-2.384,374.623,11.406,4.612,-1.428,-0.602,-1.276,-2.081,4.716,-1.48,3.979,7.716,5.766,6.602,3.68,36.171,4.162,3.77,7.474,0,13.856,11.771,0,0,0,37.085,70.093,5.807,46.77,54.601,74.252,0,0.91,2.341,8.794,6.686,15.781,37.895,11.117,-0.082,-0.836,-1,1.907,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,-0.42,-1.515,0.667,0,0,0,3.842,0,0,0,-3.742,0,0,0,1,0,0,5,2,0,2,0,0,2,4,6,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,2,2,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.314,0.728,0.529,-1.87,Antibacterial
7,212.01,13.251,1,1,1,1,4,0,0,1,1,1,37.5,25,6.3,25,6.3,1,1,0,0,0,0,0,30.514,0,0,0,0,0,0,2.449,72,288,2.359,2.481,8.059,0,0,0.452,0.598,2.039,1.219,2.928,-0.811,2.4789,22.825,-2.327,-1.485,4.333,39.787,-0.568,93,8.9797,2.766,-1.415,-1.095,-2.232,-1.788,6.88,-1.448,3.403,7.642,5.101,1.356,1.478,16.572,3.602,3.206,6.999,6.545,0,23.542,22,0,0,0,61.789,0,15.835,6.545,45.954,0,0,1.508,7.497,5.607,8.957,38.216,5.283,0,0,0,1.392,1,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,NA,NA,-1.04,Antibacterial
8,916.24,6.498,5,13,5,1,17,0,0,0,0,0,54.6,32.6,0.7,12.1,0,4,4,0,0,0,0,0,692.458,0,0,0,0,0,0,5.148,11356,156017,20.684,2.741,10.203,0,6.263,6.251,0.174,0.473,3.958,5.261,-4.38,1.5826,624.948,-9.413,-4.166,16.854,NA,-7.422,4435.195,24.9794,7.451,-5.133,-8.77,-8.596,-3.091,3.64,-5.515,3.52,7.437,7.102,35.212,14.164,52.236,3.815,3.783,7.433,109.161,17.31,35.313,301.416,1.079,0,0,182.868,0,32.775,152.138,114.889,0,0,2.443,27.146,5.648,59.876,38.382,11.599,2.287,2.102,1.992,1.392,16,5,5,8,4,1,3,0,0,30,5,15,2,1,0,-0.035,-0.226,0,0,1.755,0,0,0,0,0,0,1,9,0,0,1,7,4,4,12,12,7,8,0,19,33,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1.604,1.569,2.463,-0.31,Antibacterial
9,196.28,6.543,2,2,1,2,2,0,0,0,0,0,53.3,33.3,6.7,6.7,0,1,1,0,0,0,0,42.269,0,0,0,0,0,0,0,3.464,178,676,3.255,2.04,8.413,2.398,2.303,0.628,0.476,1.432,2.358,3.298,-0.537,2.4688,45.124,-1.618,-0.304,4.835,64.546,-0.851,138.169,10.3506,3.358,-0.739,-1.634,-1.181,-1.526,3.615,-0.702,3.391,7.433,5.325,7.014,2.707,8.695,3.561,3.139,6.817,26.476,42.059,6.763,0,0,0,0,57.015,0,13.937,29.6,31.545,0,0,2.449,10.811,5.908,13.689,35.415,10.39,-1.488,-1.828,0,2.196,3,0,0,0,0,1,0,0,0,3,0,13,0,1,0,2.278,-0.374,0,0,1.505,0,0,8.784,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,1.588,2.521,-1.85,Antibacterial
10,365.45,8.306,9,4,3,3,5,0,0,0,1,0,43.2,36.4,6.8,11.4,0,3,4,1,1,0,50.636,63.579,88.922,91.681,0,0,0,0,0,4.062,852,9786,4.577,2.721,9.55,2.398,6.269,3.291,0.235,0.652,1.471,3.699,-2.943,1.5887,128.322,-1.915,-2.506,8.41,207.097,-4.135,558.817,12.4573,4.09,-1.569,-2.141,-5.283,-2.129,4.037,-6.064,3.739,7.477,5.999,8.787,4.234,31.488,3.871,3.551,7.427,17.65,62.654,11.771,0,0,0,32.22,64.355,0,41.02,58.68,90.961,32.897,0.91,3.152,21.671,6.952,17.685,39.681,11.697,0.415,-0.411,-1,2.377,2,1,0,0,0,0,0,1,1,7,0,6,0,1,0,0,-1.887,0.604,0,1.306,4.044,0,0,0,0,0,1,0,0,0,1,0,3,3,4,0,2,2,2,3,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.975,0.912,0.831,-2.23,Antibacterial
11,496.55,7.759,18,3,1,0,9,0,0,0,0,0,43.8,42.2,0,14.1,0,5,11,3,3,0,0,0,326.684,0,0,0,297.491,0,0,3.606,2210,103161,6.028,3.143,10.048,0,9.012,3.859,0.208,0.63,2.253,5.187,-3.269,1.5349,194.412,-5.524,-2.684,16.544,581.879,-2.732,2423.511,23.2594,4.976,-7.465,-2.578,-2.131,-2.468,4.088,-3.856,4.043,7.433,6.481,12.857,6.639,32.993,3.889,3.77,6.517,48.242,69.804,0,139.05,0,0,0,139.618,0,43.995,95.623,94.931,0,0,1.674,9.09,5.873,34.447,39.728,0,1.553,0.663,0.504,1.151,4,1,1,1,2,0,0,7,4,15,0,6,0,3,0,0,-0.61,3.197,0,0,0,0,0,0,0,0,1,4,1,0,1,3,3,1,4,3,4,6,0,13,14,11,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.563,2.747,7.543,-2.45,Antibacterial
12,484.541,9.889,15,8,4,6,5,0,0,0,3,0,34.7,36.7,12.2,10.2,0,4,5,1,1,0,65.026,96.392,214.079,0,132.974,0,0,0,0,4.183,1826,26572,7.873,2.722,9.636,2.398,6.565,4.442,0.182,0.5,1.33,3.922,-4.822,1.3508,204.009,-3.825,-3.877,10.498,334.854,-5.343,937.467,13.1847,4.974,-5.092,-1.477,-2.584,-2.185,4.027,-2.923,13.502,7.437,6.047,6.173,7.802,23.149,3.981,3.856,7.429,8.396,8.841,11.771,42.683,0,0,64.439,83.999,0,92.66,60.678,118.191,0,0,3.454,29.13,6.622,19.594,38.258,11.291,1.122,0.855,0.515,3.264,1,0,3,0,1,2,0,1,0,14,0,0,0,1,0,0.889,-0.688,1.015,0,1.374,0,11.28,0,0,0,0,0,1,0,0,0,0,1,5,3,0,4,6,0,5,5,6,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,1,4,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,3.549,NA,NA,-2.99,Antibacterial
13,622.93,6.107,5,7,5,0,9,0,0,0,0,0,56.9,34.3,0,8.8,0,2,2,0,0,0,0,0,149.848,0,0,0,0,0,0,4.796,4190,27841,14.665,3.049,9.762,0,5.976,3.94,0.291,0.819,3.533,4.464,-3.515,2.363,312.43,-6.595,-3.777,13.927,608.618,-2.394,2378.91,29.0265,5.734,-2.976,-3.652,-3.056,-2.468,3.674,-3.38,3.558,7.433,6.642,25.655,10.744,33.076,3.806,3.704,6.471,101.193,17.371,0,203.733,0,0,0,172.449,0,23.875,148.574,138.248,0,0,1.674,11.163,5.862,37.543,39.089,0,1.648,1.271,0.77,1.216,8,3,9,3,2,0,5,0,0,17,0,3,2,1,0,0.628,0.997,0,0,0,0,0,0,0,0,0,1,4,2,0,0,5,8,2,3,5,5,4,0,15,17,17,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.826,4.75,22.562,-3.44,Antibacterial
14,765.15,6.073,3,12,3,0,11,0,0,0,0,0,57.1,34.1,0,8.7,0,5,5,0,0,0,0,153.454,797.633,0,0,0,0,0,0,6.403,7262,194546,13.433,2.623,10.322,2.398,6.34,7.583,0.15,0.406,4.204,4.946,-3.769,1.3043,478.352,-6.309,-9.765,13.11,NA,-3.537,2346.343,15.9214,6.186,-1.97,-3.834,-5.925,-2.653,3.764,-5.382,3.611,7.477,6.943,32.367,13.768,33.016,3.862,3.82,7.425,97.077,0,0,183.049,0,0,0,144.884,0,28.854,116.03,138.841,0,0.91,2.341,21.065,6.206,48.8,40.974,11.432,1.881,1.678,1.489,2.178,14,6,0,5,0,0,2,0,0,9,3,17,4,0,0,5.294,-0.957,0,0,0,0,0,0,0,0,0,4,5,0,0,1,3,6,3,4,6,5,1,2,25,21,18,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.54,6.059,36.709,-3.87,Antibacterial
15,564.492,10.08,16,11,5,6,9,0,0,0,3,0,32.1,35.7,10.7,16.1,0,4,5,1,1,0,79.75,118.491,263.469,0,164.353,0,0,0,0,5.05,2824,36172,10.111,3.395,9.902,2.398,6.823,4.273,0.19,0.535,1.268,4.052,-3.253,1.4781,257.515,-6.625,-2.596,10.499,400.478,-2.615,1234.443,14.3062,5.276,-3.875,-2.393,-4.676,-2.577,3.999,-3.032,14.545,7.609,6.249,6.835,164.104,42.303,3.942,3.87,7.437,19.279,8.841,11.771,22,0,0,32.22,95.813,0,70.848,62.085,76.496,0,0,3.287,30.645,6.472,25.576,41.515,12.466,1.401,1.112,0.766,2.588,1,0,3,2,2,2,0,1,1,14,1,0,0,1,0,0.11,-3.878,0.361,0,1.051,0,11.202,0,0,0,0,1,3,0,0,0,2,3,7,5,4,8,17,0,9,8,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,2,0,1,0,0,1,0,0,0,0,9,0,0,0,0,6,1.763,NA,NA,-2.52,Antibacterial
16,816.1,6.635,10,12,10,1,13,0,0,0,0,0,52.8,35.8,0.8,10.6,0,3,3,0,0,0,0,195.219,212.579,0,0,0,0,0,0,5.874,9258,83524,18.499,3.286,10.03,2.398,6.337,4.755,0.203,0.547,3.398,4.646,-4.582,1.8057,552.5,-3.121,-4.567,16.057,NA,-3.192,3457.744,26.3629,6.016,-4.037,-3.237,-2.33,-2.845,3.729,-4.589,3.598,7.44,6.897,29.168,12.665,40.226,3.838,3.812,7.432,101.193,28.371,0,161.05,0,0,0,216.257,0,48.73,167.527,162.27,0,0,1.674,20.713,5.869,53.736,39.115,0,2.169,1.732,1.648,1.674,10,3,16,3,2,0,7,0,0,19,2,5,2,2,0,0.589,-1.788,0,0,0,0,0,0,0,0,0,1,5,1,0,0,5,8,3,3,6,7,4,0,20,24,19,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1.44,4.399,19.349,-2.41,Antibacterial
17,718.8,7.487,6,12,6,4,16,0,0,0,0,0,47.9,31.3,4.2,16.7,0,4,4,0,0,0,0,162.617,566.462,0,0,0,0,0,0,5.339,6640,78128,14.022,3.187,10.007,2.398,6.031,4.056,0.18,0.5,2.87,5.052,-6.046,1.5265,413.667,-3.77,-2.871,12.041,608.857,-5.924,1965.941,16.982,6.554,-4.092,-3.881,-3.926,-3.118,3.713,-3.56,3.498,7.447,6.985,21.627,8.466,90.501,3.831,3.759,7.431,26.476,0,51.36,385.466,0.719,0,0,88.13,0,23.459,67.076,59.973,0,0,1.907,20.66,5.797,42.208,37.175,8.607,2.001,1.895,1.224,1.722,11,0,6,4,0,1,3,0,0,17,3,0,2,0,0,-0.844,-3.074,0,0,0.797,0,0,0,0,0,0,0,4,4,4,6,11,4,4,10,12,10,12,0,6,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,10,14.12,-4.534,20.556,1.8,Antibacterial
18,460.48,8.079,11,2,5,2,9,0,0,0,0,0,42.1,38.6,3.5,15.8,0,4,10,3,1,0,0,0,227.855,0,0,0,278.767,0,0,4.301,1325,48224,5.146,4.273,10.138,0,7.763,4.196,0.266,0.841,1.638,4.885,-4.265,1.8755,155.858,-5.367,-2.259,15.489,496.411,-4.634,2247.342,25.9958,4.974,-5.02,-4.519,-2.911,-2.565,4.005,-4.998,3.937,7.451,6.556,11.047,5.394,69.861,3.882,3.587,7.427,25.618,15.867,0,128.05,0,0,0,81.761,0,27.714,57.171,49.996,32.897,0,1.91,12.065,6.381,35.988,41.993,8.345,1.382,0.502,-0.058,1.048,2,4,7,0,2,0,0,2,1,11,0,3,1,0,0,0,-7.562,-0.91,0,1.293,0,0,0,0,0,0,2,0,3,6,0,11,11,0,3,10,6,6,0,15,8,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,2.556,-2.11,4.453,-0.03,Antibacterial
19,550.62,7.866,2,9,2,4,14,0,0,0,1,0,48.6,24.3,5.7,20,0,3,3,0,0,0,0,102.171,250.394,0,0,0,0,0,0,4.359,2690,21920,9.982,5.916,9.71,2.398,5.412,3.225,0.249,0.729,2.733,4.794,-6.586,1.8746,217.159,-6.398,-3.015,9.949,357.235,-4.23,1111.613,16.7044,4.53,-3.717,-4.81,-4.818,-2.986,4.713,-5.416,3.754,7.775,6.743,20.259,5.915,114.201,3.885,3.762,6.999,0,0,23.542,347.96,0.719,0,3.043,5.359,3.043,4.64,0,2.535,98.692,3.043,4.288,17.798,7.174,27.896,36.82,0,1.072,0.604,0.377,1.392,13,0,0,4,0,2,0,0,0,16,0,0,2,0,0,-1.119,0,0,0,0,0,0,0,0,0,-4.999,0,5,4,3,8,9,2,8,9,6,8,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,6,0,0,2,0,0,0,0,9,0,0,0,0,10,20.496,-7.343,53.915,2.46,Antibacterial
20,1665.11,8.367,45,12,19,19,18,0,0,0,5,0,42.7,36.2,9.5,9,0,10,89,19,0,0,0,711.705,494.278,0,0,0,287.542,0,0,7.616,49272,25018035,28.766,3.458,10.901,3.932,8.676,11.538,0.103,0.291,3.216,4.788,-10.474,1.0614,NA,-14.791,-7.211,45.387,NA,-26.382,34543.904,44.8898,8.105,-25.891,-12.436,-12.927,-3.467,4.241,-18.282,3.904,7.455,7.597,38.301,18.308,98.797,4.231,4.213,7.435,88.252,67.483,47.084,213.417,0,0,157.33,313.035,0,266.312,156.753,344.763,32.897,0,3.383,55.517,6.542,127.533,41.191,10.351,2.812,2.706,2.6,1.985,13,1,19,0,0,1,3,2,0,26,2,24,0,1,10.694,-0.077,-12.962,-1.518,0,0,9.805,23.66,0,0,0,0,2,1,2,0,1,6,14,1,10,4,18,9,0,14,20,9,9,15,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,4,6,17,0,14,0,0,20,0,0,0,0,9,0,0,0,0,6,53.604,-0.4,0.16,NA,Antibacterial
21,457.05,7.372,1,8,1,2,7,0,1,0,2,1,53.2,29,3.2,11.3,1.6,2,2,0,0,0,0,96.091,111.34,0,0,0,0,0,0,4.359,1481,6823,10.08,2.769,9.379,2.398,4.394,3.255,0.305,0.879,2.722,4.102,-7.842,2.1523,157.853,-2.027,-6.924,7.522,217.579,-3.157,611.554,14.7228,4.144,-4.46,-1.35,-2.364,-2.304,3.778,-3.092,3.459,7.427,6.301,16.248,6.211,32.857,3.833,3.699,6.517,33.237,3.124,77.486,139.05,0,0,32.22,47.651,0,46.633,36.361,97.392,0,0,3.379,14.133,6.358,18.982,36.41,8.717,0.834,0.285,-0.403,1.959,6,1,0,1,2,1,0,0,0,15,0,6,0,0,0,3.704,-0.224,0,0,2.012,0,0,0,0,0,0,0,3,2,1,0,4,0,0,5,3,6,5,0,5,8,4,2,4,0,0,13,0,0,0,39,0,0,0,0,8,0,0,0,0,0,0,0,2,1,0,1,0,0,2,1,1,1,1,0,0,2,0,2,0,0,2,2,0,4,0,0,0.184,1.958,3.835,-1.03,Antibacterial
22,492.341,10.475,14,5,3,3,5,0,2,0,4,2,34,40.4,6.4,10.6,4.3,4,5,1,1,0,59.185,162.863,97.633,108.043,0,0,0,0,0,4.062,1473,30784,6.693,2.199,9.844,3.045,7.063,4.7,0.201,0.567,1.432,4.108,-2.824,1.4593,175.676,-4.417,-1.581,10.426,321.089,-2.846,923.712,13.9655,4.5,-5.423,-2.974,-1.95,-1.96,4.097,-2.451,13.502,7.436,6.012,4.145,7.217,16.718,4.114,3.817,7.428,26.476,25.863,17.22,0,0,0,32.22,93.083,0,70.398,58.029,171.792,0,0,3.152,18.48,6.952,16.5,39.788,11.663,1.17,0.575,0.012,2.377,2,1,1,0,0,0,0,2,2,5,3,6,0,2,0,0,-1.287,1.631,0,1.488,0,3.972,0,5.238,0,0,1,1,0,0,0,2,1,2,2,2,0,4,0,6,2,2,3,0,0,0,38,0,0,0,88,0,0,0,0,18,0,0,0,0,4,0,0,2,4,0,0,0,0,2,3,1,4,1,2,0,2,0,2,0,0,2,4,0,0,0,2,10.264,NA,NA,-4.11,Antibacterial
23,185.24,7.41,12,2,0,1,1,0,0,0,0,0,44,48,4,4,0,2,2,0,2,0,0,0,87.796,0,0,0,0,0,0,1.581,168,1407,2.585,0.926,8.256,0,5.932,0.769,0.314,0.877,2.442,3.57,-1.495,1.6848,48.451,NA,-2.456,6.516,86.894,-1.649,200.052,10.0307,3.097,-1.727,-2.721,-3.126,-1.03,3.697,-2.135,3.632,4.867,5.014,4.942,2.218,5.856,3.746,3.015,4.877,0,24.243,0,0,0,0,0,98.53,0,13.244,85.286,85.286,32.897,0,0.86,1.72,5.067,10.64,30.755,0,-1,-1.903,-2,0,0,0,0,0,0,0,0,0,3,9,0,0,0,1,0,0,0,2.369,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.741,2.644,6.989,-3.75,Antibacterial
