No.,MW,AMW,nBM,RBN,nDB,nF,nX,C%,N%,O%,nCIC,nCIR,Rbrid,NRS,nBnz,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr06,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,CENT,ICR,Wap,PHI,MAXDN,LOC,MWC07,SRW05,Vindex,Yindex,IC2,CIC1,VE3sign_A,EE_D,VE3sign_D,VE3sign_X,EE_Dt,VE3sign_Dt,H_D/Dt,Chi_D/Dt,J_D/Dt,VE1_D/Dt,VE3sign_D/Dt,SM1_Dz(p),SpMax_B(m),SpMax_B(p),SpMax_B(s),ATS5s,ATSC1m,ATSC1p,ATSC1s,GATS7s,GATS8s,SpMax2_Bh(p),SpMax2_Bh(s),P_VSA_LogP_1,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_MR_3,P_VSA_MR_4,P_VSA_MR_7,P_VSA_v_4,P_VSA_e_4,P_VSA_i_1,P_VSA_s_1,P_VSA_s_3,P_VSA_s_4,P_VSA_ppp_L,P_VSA_ppp_P,P_VSA_ppp_N,SpMax_EA(dm),SpDiam_AEA(dm),SM15_EA(ed),SM13_EA(dm),SM06_AEA(dm),SM09_AEA(dm),Eig02_EA(dm),nCrs,nCrt,nCconj,nROR,C-005,C-006,C-016,C-025,C-026,H-048,H-051,H-052,H-053,O-060,SdCH2,SssCH2,SdssC,SaasC,SdNH,SsssN,SdsN,SaaN,SaaNH,SaaO,SddssS,NssssC,CATS2D_04_DD,CATS2D_05_DD,CATS2D_08_DD,CATS2D_02_DL,CATS2D_02_AA,CATS2D_09_AA,CATS2D_05_AP,CATS2D_01_AN,CATS2D_02_AL,CATS2D_09_PL,CATS2D_01_LL,CATS2D_03_LL,CATS2D_09_LL,T(N..P),T(N..F),T(N..Cl),T(N..Br),T(O..Cl),T(O..Br),T(S..S),T(S..F),T(S..Cl),T(P..Cl),T(F..Cl),T(Cl..Cl),F02[N-N],F03[C-Cl],F04[C-S],F04[N-O],F04[O-S],F05[O-S],F07[C-Cl],F07[N-O],F08[C-Cl],F08[C-Br],F10[C-S],F10[O-O],MLOGP2,ALOGP,ALOGP2,Class
294,1025.98,8.015,22,4,10,0,2,35.9,3.1,14.1,8,20,6,2,2,0,0,0,442.259,0,0,0,539.852,0,0,9352,2.838,90290,18.118,92.417,0.854,10.753,0,0,0,5.069,2.789,NA,151.337,NA,NA,481.193,NA,4270.137,8.273,66.1839,NA,NA,-3.203,4.012,3.943,NA,NA,26.723,11.95,NA,NA,NA,4.007,NA,60.061,31.733,88.936,271.613,0,0,0,88.936,0,0,55.428,123.167,197.754,65.794,0,2.048,6.45,42.443,9.938,2.414,1.69,2.048,4,8,14,0,4,1,0,4,2,0,0,5,0,0,0,0.25,-13.505,0.241,0,2.72,0,0,0,0,0,2,6,10,4,19,0,2,4,0,25,4,16,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,4,NA,NA,NA,Antibacterial
295,1000.5,6.214,4,19,4,0,0,30.4,0.6,10.6,3,3,0,3,0,0,0,0,305.42,0,0,0,0,0,0,14544,2.813,53672,26.152,84.484,1.645,10.19,0,0.849,2.23,4.698,4.547,-7.581,356.913,-7.935,NA,NA,-11.262,3272.566,3.076,53.0556,6.255,-3.051,-3.073,4.712,3.756,7.775,7.425,45.912,16.448,60.858,0.976,0.981,3.768,7.432,124.753,14.124,23.542,316.058,0.719,3.043,0,0,3.043,3.043,52.401,127.877,132.561,0,3.043,3.302,6.964,40.015,11.803,2.083,1.773,2.443,12,7,0,5,3,1,0,0,0,2,3,21,3,1,0,12.573,-1.172,0,0,1.883,0,0,0,0,-4.234,3,0,0,1,4,9,10,0,4,21,0,16,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,5,NA,NA,NA,Antibacterial
296,166.27,7.918,7,2,1,0,0,38.1,9.5,0,1,1,0,1,0,0,0,0,34.705,0,0,0,0,0,0,81,1.868,407,2.685,1.234,1.273,7.958,0,0.512,1.568,3.88,0.97,-1.673,29.324,-2.062,-1.08,48.609,-1.204,109.033,1.751,9.6316,2.804,-1.969,-0.592,3.941,3.688,5.038,4.496,4.168,1.795,5.338,2.079,0,3.352,4.817,8.825,14.99,0,0,0,16.786,0,0,45.192,0,9.19,36.825,33.498,32.897,0,1.058,5.744,32.019,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0.913,0.433,1.919,0,0,0,4.125,0,0,0,0,0,0,0,1,0,0,1,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.688,1.53,2.342,Antibacterial
297,283.78,8.868,8,3,2,1,2,31.3,3.1,9.4,1,1,0,1,1,0,0,0,56.554,0,0,0,0,0,0,926,2.498,1020,6.059,4.175,1.615,8.576,0,0,0,3.976,1.239,-1.074,60.028,-2.508,-1.024,78.949,-1.945,186.867,1.422,11.3732,3.892,-2.256,-1.911,4.716,3.989,NA,NA,8.689,3.631,NA,NA,NA,3.681,NA,7.19,4.736,59.428,42.683,0,6.046,0,44.468,6.046,6.046,13.206,45.095,85.559,32.897,0,2.95,7.18,36.876,0,-1.289,-1.914,0.765,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,-0.838,0,0.551,0,0,0,0,0,0,-3.258,0,0,0,0,1,1,0,0,0,1,0,4,2,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Antibacterial
298,182.032,12.135,1,1,1,0,0,20,0,26.7,1,1,0,1,0,15.167,0,0,0,0,0,0,0,0,0,NA,NA,122,7.285,5.21,NA,8.148,3.932,0,0,2.936,1.428,-0.297,15.761,-1.429,-0.226,20.092,-0.708,36.083,1.444,5.7754,2.511,-0.775,-1.234,4.476,13.41,NA,NA,1.585,24.947,NA,NA,NA,13.408,NA,8.825,0,11.771,11,0,13.65,0,0,13.65,13.65,0,8.825,8.825,0,44.868,0.86,5.424,37.771,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,Antibacterial
299,485.55,8.518,12,5,6,1,1,33.3,8.8,12.3,4,5,1,3,0,40.719,0,73.195,142.555,0,0,0,121.736,0,0,3806,3.063,18349,7.511,53.917,1.142,9.659,3.932,2.961,0,5.245,1.598,-8.122,145.067,-2.641,-0.497,273.247,-4.08,888.646,3.262,22.8347,4.799,-5.208,-2.65,4.713,3.83,8.201,6.204,13.081,5.281,58.034,1.072,0.949,3.867,7.763,18.073,52.359,31.387,39.096,0,18.125,0,0,1.339,1.339,40.334,42.846,20.916,32.897,2.249,2.925,6.94,37.073,11.316,0.885,0.005,2.576,3,1,4,0,2,3,0,1,1,1,1,4,0,1,0,2.785,-1.754,-0.35,0,3.376,3.969,4.427,0,0,-3.667,0,0,0,0,2,6,1,1,5,11,0,2,1,0,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,NA,NA,NA,Antibacterial
300,406.89,15.07,12,2,0,0,6,48.1,0,7.4,2,2,0,2,2,0,0,0,136.761,0,0,0,0,0,0,502,2.035,3868,5.544,1.919,0.74,9.152,0,0.346,1.043,3.44,1.667,-2.202,84.02,NA,-1.954,153.234,NA,425.857,1.928,14.1401,3.297,NA,-0.808,4.183,3.89,6.318,5.608,4.917,1.259,33.378,1.031,1.137,3.808,6.465,0,27.375,0,0,0,234.892,0,234.892,0,0,29.909,18.952,262.75,0,0,0.68,5.636,36.181,0,-0.57,-1.303,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,-0.046,0,0.516,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,12,0,0,0,0,0,64,0,0,0,0,0,0,90,0,14,0,0,0,0,10,0,4,0,0,0,23.081,7.256,52.652,Antibacterial
301,194.25,6.937,7,4,1,0,0,39.3,0,10.7,1,1,0,1,1,0,0,0,49.065,0,0,0,0,0,0,188,2.271,735,3.806,2.015,1.876,8.149,0,0.41,1.145,3.682,1.662,-1.55,50.252,-1.343,NA,69.315,-0.956,147.876,1.468,10.2761,3.277,-1.194,-1.526,3.714,3.648,7.432,4.874,6.141,2.863,8.303,0.536,0.566,3.546,6.471,17.65,14.185,0,0,0,0,0,0,0,0,14.969,55.555,58.741,0,0,1.674,5.66,32.234,0,-1.653,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0.416,-0.348,0.605,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.654,2.61,6.811,Antibacterial
302,180.22,7.209,7,3,1,0,0,40,0,12,1,1,0,1,1,0,0,0,44.165,0,0,0,0,0,0,151,2.2,599,3.175,2.032,1.662,8.118,0,0.445,1.287,3.463,1.506,-0.882,42.097,-1.608,-0.543,60.656,-0.82,133.333,1.53,9.947,3.256,-1.28,-1.526,3.718,3.649,7.433,4.907,5.256,2.52,8.625,0.484,0.586,3.436,6.471,17.65,14.185,0,0,0,0,0,0,0,0,10.377,55.555,58.741,0,0,1.674,5.678,32.358,0,-1.888,0,0,0,0,1,0,0,0,0,1,1,0,0,6,0,1,0,0,-0.366,0.59,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.353,2.144,4.598,Antibacterial
303,246.32,8.211,9,2,3,0,0,30,6.7,13.3,1,1,0,1,1,0,0,0,38.895,0,0,0,0,0,0,372,2.453,499,5.85,18.25,1.147,8.251,0,4.594,0,4.082,1.254,-0.853,34.768,-1.687,NA,52.429,-1.12,127.333,2.625,19.6867,3.391,-2.711,-1.888,4.725,3.967,7.729,4.757,8.782,2.838,39.296,1.776,1.918,3.598,7.476,8.825,4.736,0,0,0,5.807,0,0,5.807,5.807,7.752,46.73,49.916,64.189,0.91,2.341,6.661,36.839,11.051,-1,-2,0.522,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0.394,-0.833,0.988,0,0,0,0,0,0,-3.569,0,0,0,0,2,2,0,0,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,NA,NA,NA,Antibacterial
304,362.4,8.053,9,2,3,1,1,37.8,8.9,8.9,4,8,3,2,1,0,0,0,210.135,0,0,0,250.17,0,104.165,836,2.716,24502,4.235,3.009,0.85,9.615,0,0.242,0.731,4.481,1.778,-4.385,118.758,-2.106,-2.114,306.422,-3.353,1063.902,3.128,18.1398,3.862,-0.927,-2.336,3.988,3.882,8.201,6.239,8.438,3.784,16.211,1.252,1.307,3.608,7.48,16.793,49.501,50.273,0,0,0,0,0,0,0,44.879,47.569,15.847,0,0.91,1.437,5.815,38.032,0.104,0.174,-0.498,1.068,0,0,4,0,2,4,0,1,4,3,0,0,0,1,0,2.989,-2.456,0.435,0,7.255,0,0,0,0,0,0,0,0,0,1,2,1,0,2,6,0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1.907,1.356,1.84,Antibacterial
305,966.25,6.757,10,4,10,0,0,34.3,0.7,12.6,3,4,2,2,0,0,0,0,316.38,0,0,0,0,0,0,11262,2.97,206409,25.164,3.609,0.843,10.041,0,0.185,0.487,5.033,3.699,-2.02,NA,-3.342,-1.564,NA,-4.458,10472.87,2.585,45.2415,7.471,-2.36,-3.144,3.637,3.487,7.477,7.363,34.259,14.477,88.341,1.024,0.947,3.759,7.433,44.126,11,11.771,459.833,0.36,132.667,0,0,0,0,33.082,176.793,197.07,0,0.91,2.443,5.872,37.881,12.08,2.074,1.833,2.341,23,3,14,3,0,0,14,0,0,1,6,11,7,1,0,-3.226,-2.757,0,0,0,0,0,0,0,0,1,6,2,5,16,4,8,0,2,28,0,17,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1.101,-0.142,0.02,Antibacterial
306,236.45,5.254,5,11,0,0,0,33.3,4.4,0,1,1,0,1,0,0,0,58.413,0,0,0,0,0,0,0,370,2.94,1278,8.939,0.365,3.126,7.918,2.398,0.267,0.643,2.888,3.424,-1.579,92.984,-1.564,-2.028,108.143,-1.544,170.084,1.231,10.4622,3.682,-0.753,-0.788,3.635,3.423,4.781,5.043,11.413,4.44,7.429,0.886,0.957,3.663,4.243,8.825,10.947,11.771,0,0,16.786,0,0,0,0,27.451,37.438,34.171,0,0,0,4.601,29.179,0,-1.196,-1.705,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,15.184,0,0,0,0,0,4.049,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.867,4.901,24.024,Antibacterial
307,307.31,10.244,15,5,4,0,0,40,10,16.7,2,2,0,2,1,0,0,61.076,76.216,0,0,0,0,0,0,579,2.529,3807,4.728,2.597,1.234,8.878,2.398,0.289,0.808,4.348,0.945,-1.371,97.927,-2.134,-0.983,153.549,-2.579,361.353,1.677,12.2961,3.492,-3.474,-2.129,4.24,3.79,7.815,5.537,2.688,2.571,21.105,0.849,0.654,3.796,7.435,14.495,29.907,0,50.747,0,22.456,0,0,31.278,0,53.033,61.448,81.193,0,0,2.612,5.783,34.641,12.807,-0.795,-1,2.443,0,0,1,0,0,0,0,1,1,0,3,0,0,1,0,0,-1.128,0.141,0,0,0,3.731,0,0,0,0,0,0,0,2,2,2,0,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,3.983,1.399,1.956,Antibacterial
308,238.18,10.356,10,3,5,0,0,34.8,17.4,21.7,2,2,0,2,0,0,0,99.977,0,0,0,0,0,0,0,293,2.469,2199,2.995,2.691,0.972,8.677,3.045,0.286,0.778,4.263,0.555,-2.404,70.378,-2.524,-1.026,106.171,-2.162,230.59,1.704,10.2219,3.58,-3.01,-2.241,3.905,3.63,7.815,4.889,1.757,1.428,29.796,0.842,1.506,3.519,7.449,5.67,31.19,9.725,50.747,0,14.717,0,0,0,0,21.555,36.672,18.952,0,0,2.612,5.695,33.301,12.483,-1.077,-1.767,1.994,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.182,-1.107,-0.308,0,0.886,3.657,0,0,4.775,0,0,0,0,0,0,3,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,2,0.009,0.319,0.101,Antibacterial
309,198.16,9.908,9,3,4,0,0,30,20,20,1,1,0,1,0,0,0,42.507,0,0,0,0,0,0,0,194,2.271,761,3.334,2.682,2.005,8.172,2.398,0.387,1.044,4.022,0.675,-1.579,52.814,-1.157,-0.631,68.14,-2.132,132.061,1.416,9.9125,3.3,-0.67,-2.104,3.902,3.626,7.815,4.742,2.239,1.032,24.258,1.215,1.737,3.202,7.439,5.67,31.19,9.725,50.747,0,14.717,0,0,0,0,14.745,33.67,18.952,32.897,0,2.612,5.623,32.21,12.454,-1.647,0,1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.831,-0.254,0,0,3.348,0,0,4.686,0,0,0,0,0,0,2,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0.03,0.223,0.05,Antibacterial
310,261.25,8.708,9,2,3,0,0,43.3,3.3,16.7,3,6,2,1,1,0,0,34.22,66.801,0,0,53.858,57.343,0,0,346,2.168,6633,2.804,2.897,1.039,9.197,2.398,0.309,0.96,4.415,1.08,-2.449,68.414,-3.346,-1.171,194.418,-2.06,651.81,3.327,17.4669,3.774,-2.138,-2.028,3.929,3.839,7.483,5.556,4.515,2.76,17.285,1.98,0.663,3.504,7.422,8.825,44.739,35.313,0,0,0,0,0,0,0,34.414,39.949,34.149,0,0.91,1.437,5.787,36.538,0.054,-0.718,-1.481,1.392,0,0,4,0,0,1,0,1,3,3,0,3,0,2,0,0.661,-1.981,2,0,1.71,0,0,0,0,0,0,0,0,0,1,2,0,0,2,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.893,1.248,1.558,Antibacterial
311,877.15,6.907,15,6,9,0,0,37,3.1,9.4,6,16,8,3,1,0,0,233.005,369.746,0,0,160.354,185.518,0,0,8176,3.324,653785,15.529,3.313,0.858,10.369,3.045,0.143,0.399,5.617,3.081,-20.247,560.864,-5.393,-8.915,NA,-5.633,8257.133,3.108,30.1922,7.31,-2.456,-2.879,4.073,4.004,7.438,7.319,29.44,12.56,37.248,1.133,1.273,3.827,7.43,81.485,52.483,23.542,107.366,0,40.662,0,0,0,0,67.838,146.097,137.758,0,0,2.443,6.284,39.789,11.726,2.231,1.786,2.098,10,4,11,2,1,4,4,4,2,2,3,5,6,2,0,7.695,-3.738,-1.499,0,4.417,0,0,0,0,0,1,3,2,1,10,2,5,0,0,24,0,15,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,7,1.484,3.026,9.159,Antibacterial
312,200.18,9.099,8,4,3,0,0,27.3,18.2,18.2,1,1,0,1,0,0,0,41.605,0,0,0,0,0,0,0,184,2.182,735,3.165,2.615,1.747,8.388,2.398,0.447,1.296,3.971,0.71,-0.99,47.99,-1.089,-0.569,66.217,-2.971,140.238,1.505,10.5363,3.36,-0.742,-2.104,3.943,3.656,7.815,5.146,3.229,1.084,23.739,1.831,0.174,3.146,7.443,14.066,24.274,6.763,50.747,0,22.456,0,0,0,0,16.011,25.013,0,32.897,0,2.612,5.614,34.87,12.546,-1.644,0,2.19,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,-0.181,-0.948,0.087,0,0,0,3.697,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0.122,-0.087,0.008,Antibacterial
313,250.31,9.271,14,3,2,0,0,37,14.8,7.4,2,2,0,2,1,0,0,0,116.362,0,0,0,0,0,0,324,2.469,1929,3.154,4.577,0.682,8.674,0,0.318,0.915,3.806,1.556,-0.79,65.213,-2.678,-0.776,106.566,-1.72,259.283,1.758,10.5479,3.175,-2.34,-1.688,4.71,3.967,7.716,5.233,6.178,2.42,19.886,1.633,0.112,3.645,6.999,0,22.402,1.899,0,0,55.783,0,0,5.807,5.807,6.207,65.476,47.381,32.897,0,0,6.686,37.895,0,-1,-1.713,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.642,0,0,0,7.562,0,0,-3.661,0,0,0,0,2,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0.237,0.786,0.617,Antibacterial
314,357.17,13.229,14,3,2,0,0,37,14.8,7.4,2,2,0,2,1,0,0,0,116.362,0,0,0,0,0,0,1072,2.642,1929,5.253,4.702,0.662,8.674,0,0,0,3.63,1.63,-0.836,65.213,-2.836,-0.822,106.566,-1.822,259.283,1.758,10.5479,3.175,-2.478,-1.537,8.982,4.091,NA,NA,1.962,2.061,NA,NA,NA,4.044,NA,0,22.402,1.899,0,0,39.378,0,0,5.807,5.807,6.207,65.476,47.381,32.897,16.405,0,6.686,37.895,0,-1,-1.713,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.448,0,0,0,7.451,0,0,-3.786,0,0,0,0,2,6,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,NA,NA,NA,Antibacterial
315,250.31,9.271,14,3,2,0,0,37,14.8,7.4,2,2,0,2,1,0,0,0,116.362,0,0,0,0,0,0,324,2.469,1929,3.154,4.577,0.682,8.674,0,0.318,0.915,3.806,1.556,-0.79,65.213,-2.678,-0.776,106.566,-1.72,259.283,1.758,10.5479,3.175,-2.34,-1.688,4.71,3.967,7.716,5.233,6.178,2.42,19.886,1.633,0.112,3.645,6.999,0,22.402,1.899,0,0,55.783,0,0,5.807,5.807,6.207,65.476,47.381,32.897,0,0,6.686,37.895,0,-1,-1.713,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.642,0,0,0,7.562,0,0,-3.661,0,0,0,0,2,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0.237,0.786,0.617,Antibacterial
316,310.37,8.868,14,5,2,0,0,34.3,11.4,11.4,2,2,0,2,1,0,0,0,147.118,0,0,0,0,0,0,537,2.506,3465,4.623,4.736,1.025,8.998,0,0.314,0.906,4.172,1.368,-1.102,91.604,-2.328,-1.051,148.303,-5.647,383.302,1.723,12.6342,3.354,-3.249,-2.055,4.711,3.973,7.716,5.773,8.192,3.124,19.695,1.632,1.299,3.66,6.999,21.766,40.169,7.143,0,0,55.783,0,0,5.807,5.807,16.693,68.29,37.905,32.897,0,0.86,6.686,37.967,0,-0.627,-1,0.86,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0.731,0,0,0,7.689,0,0,-3.819,0,0,0,0,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,1,1,0,0,0,0,0,0,1.078,1.31,1.717,Antibacterial
317,280.34,9.043,14,4,2,0,0,35.5,12.9,9.7,2,2,0,2,1,0,0,0,134.44,0,0,0,0,0,0,433,2.65,2673,3.878,4.638,0.92,8.803,0,0.294,0.818,4.091,1.259,-0.961,82.936,-2.06,-0.95,124.302,-4.007,306.016,1.653,11.0218,3.517,-2.67,-1.888,4.71,3.968,7.716,5.395,7.192,2.78,19.727,1.316,0.398,3.649,6.999,10.883,38.646,1.899,0,0,55.783,0,0,5.807,5.807,11.45,66.883,37.905,32.897,0,0.86,6.686,37.895,0,-1,-1.248,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0.98,0,0,0,7.653,0,0,-3.721,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0.083,0.769,0.592,Antibacterial
318,356.25,9.896,9,5,3,0,2,33.3,2.8,13.9,1,1,0,1,1,0,0,0,80.422,0,0,0,0,0,0,576,2.529,1993,6.59,4.254,1.977,8.847,0,0.397,1.106,4.482,1.333,-1.471,98.91,-4.983,-1.876,119.198,-1.527,286.229,1.281,13.4532,4.144,-1.762,-1.92,4.716,3.989,7.717,5.957,6.543,3.942,45.721,0.994,1.431,3.691,7.429,7.19,4.736,11.771,85.367,0,6.046,0,78.297,6.046,6.046,9.441,45.095,119.388,0,0,2.95,7.18,36.903,11.75,-1,-1,2.47,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,-0.54,-0.746,0.437,0,0,0,0,0,0,-3.337,0,1,0,0,1,1,2,0,0,1,0,4,2,0,0,0,6,0,74,0,0,0,20,0,0,2,0,0,1,0,0,0,4,0,4,0,0,2,0.634,0.652,0.425,Antibacterial
319,609.91,6.558,6,12,6,0,0,34.4,1.1,8.6,3,6,3,1,0,0,0,65.195,76.197,0,114.221,115.338,140.998,153.361,0,6094,3.192,25176,13.366,25.164,2.065,9.949,2.398,1.46,4.124,4.985,3.204,-5.366,201.027,-0.672,NA,396.87,-3.942,1419.479,3.249,34.9242,4.832,-0.183,-2.38,3.782,3.732,7.486,7.019,23.116,10.082,25.264,0.735,1.06,3.679,7.469,52.951,14.124,0,42.683,0,28.429,0,0,32.22,0,67.153,84.504,142.039,0,1.82,3.42,6.31,42.524,14.804,1.272,0.602,2.218,7,3,4,0,0,5,3,0,0,0,3,9,0,1,4.078,8.024,-2.427,0,0,2.348,0,0,0,0,0,3,0,1,0,4,3,0,0,4,12,0,17,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,Antibacterial
320,869.28,6.165,4,12,4,0,0,32.6,1.4,9.2,4,4,0,4,0,0,0,0,623.278,0,0,0,0,0,0,9527,3.369,105130,20.459,2.562,0.875,10.094,0,0.183,0.509,5.294,4.083,-10.268,551.962,-3.838,-6.504,NA,-10.984,4276.504,1.954,25.0058,7.405,-3.517,-2.879,3.618,3.517,7.432,7.23,36.16,14.185,36.81,0.913,1.154,3.757,7.427,109.161,20.434,23.542,236.733,0.719,28.429,0,0,0,0,39.093,143.838,114.889,0,0,2.443,5.65,37.023,11.599,2.104,1.879,1.392,14,6,5,6,4,4,3,0,0,2,3,13,2,1,0,5.017,0.091,0,0,4.209,0,0,0,0,0,0,1,0,0,2,3,9,0,0,16,0,15,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,5,0.239,3.721,13.845,Antibacterial
321,315.59,11.271,13,2,1,0,3,46.4,7.1,3.6,2,2,0,2,2,0,0,0,136.17,0,0,0,0,0,0,426,2.695,2858,4.794,2.041,0.697,8.664,0,0.269,0.723,3.31,1.958,-1.372,87.127,-2.458,-1.729,131.826,-2.717,306.347,1.659,11.0575,3.63,-4.631,-1.037,4.051,3.715,7.43,5.24,1.255,1.828,6.528,0.418,0.468,3.826,5.045,0,16.015,4.276,0,0,117.446,0,117.446,0,0,20.291,66.334,183.78,0,0,1.656,5.565,32.101,6.531,-0.796,-1.363,0.247,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-0.374,2.62,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9,6,0,0,34,0,20,0,0,0,0,0,0,26,1,6,0,0,0,0,1,0,4,0,0,0,15.9,4.516,20.395,Antibacterial
322,246.39,5.73,1,12,1,0,0,30.2,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,2.94,736,11.715,2.284,2.911,7.754,0,0.51,1.261,3.527,3.156,-2.078,90.103,-1.537,-1.674,90.103,-1.537,136,1,16,NA,NA,-1.758,3.384,3.127,7.431,5.405,10.847,4.272,9.633,1.022,1.002,3.518,6.499,8.825,11,0,85.367,0,0,0,0,0,0,32.06,8.825,29.101,0,0,2.443,5.584,27.753,11.599,-1.309,-1.847,0.286,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,8.076,-0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.803,2.831,8.016,Antibacterial
323,328.55,5.569,2,17,2,0,0,32.2,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,3.414,1896,17.111,2.293,3.393,8.039,0,0.433,1.025,3.718,3.445,-2.859,171.313,-2.097,-2.424,171.313,-2.097,253,1,22,NA,NA,-1.758,3.384,3.146,7.431,5.666,14.8,6.134,8.084,0.909,0.857,3.623,6.499,8.825,11,0,85.367,0,18.952,0,0,0,0,42.198,27.778,58.192,0,0,2.443,5.565,27.753,11.599,-0.165,-1,0.286,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,13.055,-0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,14,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.603,5.124,26.254,Antibacterial
