No.,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,BLI,CENT,ICR,Wap,MAXDN,LOC,X5v,Yindex,IC1,CIC1,CIC5,Chi_D/Dt,J_D/Dt,J_Dz(Z),SpPosA_Dz(e),SM1_Dz(e),ChiA_Dz(p),SpMax_B(m),SpMax_B(s),ATSC1m,ATSC1p,GATS7m,GATS8m,GATS6e,GATS7p,GATS7s,GATS8s,SpMax2_Bh(m),P_VSA_LogP_1,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_8,P_VSA_v_3,P_VSA_v_4,P_VSA_s_1,SpDiam_EA(bo),SpMax_AEA(dm),SM13_EA(dm),SM09_AEA(dm),Eig02_EA(dm),nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nArOH,nOHs,nROR,nArOR,nArX,C-005,C-006,C-011,C-019,C-026,C-028,C-034,H-046,H-048,H-049,H-051,H-052,H-053,O-060,O-061,N-075,F-083,SdCH2,SssCH2,StCH,StsC,SdssC,SaasC,SaaaC,SdNH,SsssN,StN,SaaNH,SaaO,SdsssP,SdS,SssS,SddssS,SsBr,NssssC,NsNH2,NdsN,CATS2D_04_DD,CATS2D_05_DD,CATS2D_07_DD,CATS2D_02_DA,CATS2D_04_DA,CATS2D_07_DA,CATS2D_01_DN,CATS2D_02_DL,CATS2D_01_AA,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_05_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_09_AA,CATS2D_05_AN,CATS2D_01_AL,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_03_PL,CATS2D_05_PL,CATS2D_06_PL,CATS2D_08_PL,CATS2D_03_NL,CATS2D_06_NL,CATS2D_09_NL,CATS2D_03_LL,CATS2D_08_LL,T(N..S),T(N..P),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..Cl),T(S..Br),T(P..F),T(P..Cl),T(P..Br),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),T(Br..Br),F02[C-P],F02[C-Si],F02[N-N],F02[N-S],F02[O-S],F03[C-Si],F03[C-X],F03[N-O],F03[O-F],F03[O-X],F03[Cl-Cl],F04[N-N],F04[N-O],F04[O-O],F04[O-S],F04[O-Cl],F05[N-N],F05[N-F],F05[O-S],F05[O-F],F05[O-Cl],F06[C-X],F06[N-F],F06[O-F],F06[O-Cl],F07[N-N],F07[N-O],F07[O-S],F07[O-F],F08[C-S],F08[C-Cl],F08[N-N],F08[O-F],F09[O-O],F09[O-F],F09[O-X],F10[N-N],F10[N-O],F10[O-O],MLOGP2,ALOGP2,BLTF96,Class,Label
16,816.1,6.635,10,10,1,0,0,0,0,35.8,0.8,10.6,0,3,3,0,1,0,0,0,0,0,0,0,0,0,1.003,9258,3.606,83524,3.286,0.849,4.755,0.547,3.544,3.398,0.555,1.758,26.3629,2.0624,8.288,1.469,0.002,3.729,7.44,29.168,12.665,0.966,1.018,1.136,1.069,0.843,0.964,3.838,101.193,0,0,0,216.257,0,0,6.457,3.905,0,1.648,1.674,0,10,3,10,2,2,0,2,3,0,0,2,0,0,3,0,0,0,29,0,0,2,5,2,2,0,0,0,0,0.589,0,0,-1.788,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,4,3,0,8,0,2,3,1,4,3,1,3,0,0,13,16,18,0,0,0,0,0,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,1.44,19.349,-2.41,Antibacterial,0
383,192.18,8.735,8,2,0,0,0,0,0,45.5,0,18.2,0,2,3,1,1,1,0,0,0,0,0,50.966,0,0,0.812,170,2.217,1580,2.636,1.489,0.73,0.925,3.352,1.107,0.091,2.374,11.8698,2.3815,2.503,0.686,0.024,3.778,7.479,3.275,2.112,0.973,0.743,1.611,0.848,1.513,1.354,3.528,0,23.542,0,0,68.614,0,0,6.941,3.474,0,-2,1.392,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0.224,0,0,-0.97,2.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,3,5,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.456,2.79,-2.42,Antibacterial,0
414,624.63,7.907,18,6,10,0,0,2,2,32.9,12.7,5.1,2.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0.973,4872,3.963,23133,2.083,1.354,2.441,0.379,3.962,2.342,0.946,1.172,16.8023,1.7244,9.439,1.331,0.002,4.072,6.344,17.856,5.891,0.969,0.969,1.123,0.957,0.961,0.922,3.995,18.4007847677,10.0758593326,12.8635842248,11.0550745649,192.331,0,0,6.656,3.894,13.236,0.829,2.341,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,4,0,0,4,0,0,3,4,0,0,0,0,0,0,4.438,0,0,-0.748,2.555,0,31.732,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,2,0,0,0,7,0,0,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,9,6,0,0,258,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,4,0,13.829,13.7689722047,-4.55,Antibacterial,0
46,159.2,7.581,11,0,1,0,0,0,0,47.6,4.8,4.8,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0.887,92,1.959,1166,1.424,0.896,0.831,1.222,3.006,1.387,0.095,3.173,13.748,2.7826,1.899,0.325,0.042,3.87,6.269,4.011,1.91,1.181,0.827,1.007,0.91,2.149,1.723,3.435,0,0,0,0,64.331,0,0,7.336,2.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.076,0,0,0,0.904,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.215,1.993,-2.65,Antibacterial,0
288,567.53,9.619,10,5,6,2,0,2,4,32.2,10.2,10.2,3.4,4,5,1,2,0,0,0,73.009,0,150.465,0,0,0,1.1,2266,2.947,28098,2.484,1.376,4.494,0.528,4.189,1.694,0.602,1.783,13.5496,1.8121,5.327,1.353,0.004,4.27,7.438,13.467,5.585,1.255,1.166,1.075,1.114,1.475,1.596,4.219,18.4007847677,10.0758593326,12.8635842248,11.0550745649,200.855,0,0,6.644,4.612,10.893,0.618,2.373,0,3,0,1,1,0,0,0,0,0,0,2,4,0,1,0,1,0,0,2,0,0,4,0,2,0,1,0,0,5.279,0,0,-1.113,0.492,0,0,1.35,0,0,0,0,0,1.461,0,0,0,1,1,0,0,0,2,2,2,0,1,2,2,5,5,6,5,4,4,0,1,8,3,5,0,0,0,0,0,0,0,0,2,64,0,120,0,0,0,77,0,8,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,2,4,1,1,1,1,0,5,0,1,0,0,0,0,2,3,1,0,2,4,0,0,1,0,0,1,3,2,4.951,13.7689722047,0.5,Antibacterial,0
221,574.58,9.419,23,5,4,1,3,0,1,42.6,6.6,9.8,4.9,5,6,1,1,0,1,0,0,0,0,0,0,0,0.901,3148,3.181,86140,5.124,0.766,3.96,0.454,4.282,1.649,0.34,2.072,15.1945,1.8178,5.283,1.396,0.003,4.718,8.211,9.992,5.983,0.953,0.911,1.01,0.968,0.99,0.958,4.038,8.825,61.307,0,0,157.57,0,7.75,7.7,5.249,0.104,1.008,1.437,0,2,0,0,1,0,0,0,0,0,3,0,2,0,0,5,0,0,3,1,0,0,0,0,0,0,1,0,0,-0.296,0,0,-3.501,-3.761,0,0,2.208,0,0,0,0,0,0,-4.208,0,0,1,0,0,0,0,1,2,1,1,1,0,5,1,5,3,2,3,3,1,0,7,12,10,0,0,3,1,1,2,0,6,0,22,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,4,2,0,0,1,3,0,1,0,0,1,1,0,1,3,0,5,1,0,0,2,1,3,0,0,0,0,9.636,15.881,-4.03,Antibacterial,0
357,358.24,10.235,9,3,1,1,1,2,3,34.3,2.9,11.4,8.6,1,1,0,0,0,0,0,0,0,0,0,0,0,1.222,576,2.529,1993,4.278,1.977,1.52,1.106,3.872,1.257,0.536,1.281,13.4532,3.3383,3.836,1.074,0.011,4.716,8.185,5.436,3.877,1.159,1.639,0.945,1.08,1.092,1.375,4.068,7.19,26.731,0,78.297,147.35,0,6.046,7.661,5.18,11.75,-1,2.47,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.04,0,0,-0.826,0.326,0,0,0,0,0,0,0,0,0,-3.362,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,4,7,0,6,0,0,27,62,0,0,0,20,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,4,0,0,0,2,0,0,0,2,2.881,2.533,-2.83,Antibacterial,0
415,894.85,8.062,18,6,10,0,0,2,2,30.6,9,12.6,1.8,2,2,0,0,0,0,0,0,0,0,0,0,0,0.932,12708,4.281,59322,4.084,1.998,3.442,0.394,4.073,2.722,0.703,1.106,22.4858,1.9982,11.928,1.833,0.001,4.033,7.479,23.999,8.81,0.874,0.981,1.022,0.936,0.935,0.964,3.997,18.4007847677,10.0758593326,12.8635842248,11.0550745649,183.316,0,0,6.663,3.89,12.445,1.698,2.413,0,0,0,0,0,1,0,8,0,0,2,0,2,0,0,4,0,0,4,2,0,0,4,0,1,0,0,0,0,4.018,0,0,-3.95,1.98,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,6,5,10,9,5,1,5,0,3,0,0,0,0,2,3,0,0,2,2,6,0,6,8,2,0,0,0,9,4,0,0,258,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,12,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,3,0,0,7,0,0,0,3,6,1.458,13.7689722047,-0.36,Antibacterial,0
194,251.28,8.106,10,0,5,0,0,0,0,32.3,16.1,9.7,0,3,4,1,2,1,0,0,0,0,0,61.915,0,0,0.837,338,2.224,5068,2.046,0.894,1.275,0.883,3.844,1.11,0.194,2.663,13.3144,2.3153,2.741,0.888,0.013,4.014,6.275,6.173,2.012,1.164,1.319,0.952,1.152,1.046,1.274,3.697,0,14.099,0,0,25.959,0,0,7.581,3.487,0,-1.491,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,2,0,0,3,0,0,0.249,0,0,0,0.282,0.978,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3,0,1,0,4,2,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.155,2.094,-1.72,Antibacterial,0
372,523.69,6.983,17,2,3,0,0,0,0,38.7,4,8,0,5,6,1,2,1,0,0,0,0,0,162.227,0,0,0.964,2692,3.122,78994,2.728,0.835,4.407,0.444,3.749,2.48,0.424,2.047,14.329,1.5507,5.508,1.062,0.003,4.03,7.478,17.063,7.409,0.997,0.951,1.11,1.041,0.779,0.84,3.941,43.697,19.364,0,0,127.53,0,0,7.605,3.976,0,0.65,1.392,0,6,3,0,0,0,0,0,2,0,0,1,0,0,0,1,1,2,16,1,0,3,2,3,1,0,1,0,0,2.949,0,0,-1.021,1.609,0.757,0,0,0,3.026,5.99,0,0,0,0,0,1,0,0,1,0,0,1,3,1,1,5,0,2,0,4,1,3,0,0,0,0,14,14,10,0,0,0,0,1,0,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,7.126,23.763,-3.66,Antibacterial,0
