,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
839,94.17,5.539,2,58.8,41.2,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,131,1.186,0,1.962,0.44,25.812,7.8978,10.484,0.102,4.064,2.833,8.825,5.069,28.429,0,3.186,0,0,28.429,0,0,0,45.509,0,0,8.255,6.124,14.442,0,0,2.311,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.349,5.264,FlavorsandFragrances,3
447,170.28,5.676,2,60,33.3,0,6.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,262,8.377,0,2.782,0.526,45.556,11,47.893,0.02,7.273,4.566,8.825,33.032,9.476,32.336,11,0,0,9.476,0,0,0,58.525,0,0,24.456,6.089,13.514,6.176,0,5.362,0,0,0,4.814,3,3,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.621,9.794,FlavorsandFragrances,3
768,128.24,5.13,1,64,32,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,120,7.701,0,2.15,0.364,27.742,8,26.528,0.041,6.074,4.339,8.825,10.138,61.636,0,0,0,0,18.952,0,0,0,37.916,0,0,10.138,3.672,0,0,0,5.135,0,0,8.336,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.532,6.18,FlavorsandFragrances,3
865,138.23,5.76,2,58.3,37.5,0,4.2,0,6,1,6,0,0,0,0,0,0,0,0,0,0,320,1.698,0,3.211,0.89,42.428,9.4033,21.672,0.051,5.763,5.329,17.65,5.069,9.476,48.34,3.186,0,0,20.9,0,0,0,46.805,0,0,8.255,8.64,15.132,0,0,2.154,0.745,0,0,0,1,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.789,4.829,FlavorsandFragrances,3
490,226.29,7.3,13,45.2,48.4,0,6.5,0,2,2,12,0,0,0,0,0,0,0,0,0,0,2098,3.542,0,3.949,0.999,113.319,10.298,66.051,0.013,6.035,3.715,8.825,2.535,85.286,32.336,22.614,0,0,0,0,0,0,115.452,0,0,21.34,7.692,17.13,6.296,0,0.3,0,0,0,5.234,4,4,3,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14.212,14.311,FlavorsandFragrances,3
411,234.09,10.178,7,39.1,39.1,4.3,8.7,8.7,2,1,6,0,0,0,0,0,0,0,0,0,0,742,3.242,0,3.681,0.683,69.187,10.8731,48.239,0.018,2.198,4.559,16.793,3.124,28.429,25.145,23.245,6.763,78.297,78.297,0,78.297,0,142.526,3.124,0,19.007,8.894,17.672,5.37,0,0,0,0,0,4.958,1,3,0,1,0,0,0,0,12,0,0,0,20,0,0,0,4,1,7,9.786,FlavorsandFragrances,3
408,152.21,6.618,6,52.2,39.1,0,8.7,0,4,1,5,0,0,0,30.586,0,0,0,0,0,0,355,1.778,6.555,2.599,0.483,42.912,8.6575,26.977,0.037,5.18,4.539,17.65,2.535,18.952,48.34,9.507,10.898,0,11.424,0,0,0,61.459,0,0,13.432,9.08,17.249,0,0,0.802,-0.066,0,0,0,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939,3.905,FlavorsandFragrances,3
810,112.19,5.61,2,60,35,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,84,6.642,0,1.624,0.225,21.836,7,19.284,0.057,4.614,4.344,8.825,7.604,18.952,48.34,0,0,0,30.377,0,0,0,46.805,0,0,7.604,3.57,0,0,0,2.632,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.849,3.477,FlavorsandFragrances,3
691,270.51,5.104,1,64.2,32.1,0,3.8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1058,15.58,0,5.981,1.278,115.893,18,121.717,0.008,13.189,6.515,26.476,32.472,0,32.336,11,0,0,0,0,0,0,66.139,0,0,39.664,6.106,13.548,6.158,2,13.759,0.612,0,0,5.186,3,3,4,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,29.695,40.632,FlavorsandFragrances,3
441,154.22,7.01,12,45.5,54.5,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,961,1.559,0,2.732,0.829,70.385,10.0432,24.54,0.044,4.333,4.695,0,0,94.762,0,6.371,0,0,0,0,0,0,101.134,0,0,6.371,9.027,17.457,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.023,11.212,FlavorsandFragrances,3
715,142.27,5.081,1,64.3,32.1,0,3.6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,165,8.851,0,2.503,0.498,34.343,9,33.018,0.033,6.82,4.611,8.825,12.673,61.636,0,0,0,0,18.952,0,0,0,40.45,0,0,12.673,3.742,0,0,0,6.543,0,0,8.382,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.983,8.656,FlavorsandFragrances,3
493,108.16,6.76,6,50,37.5,12.5,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,182,1.283,0,1.799,0.361,30.702,8.3067,13.586,0.073,3.494,3.5,17.65,0,0,57.113,23.608,0,0,33.571,0,0,0,41.259,33.571,0,5.513,6.623,16.531,0,0,0,0,8.032,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.001,0.009,FlavorsandFragrances,3
548,204.29,6.59,8,51.6,41.9,0,6.5,0,4,1,6,0,0,0,0,0,0,0,0,0,0,913,4.569,0,3.598,0.623,83.07,10.3197,58.851,0.015,6.859,4.844,17.65,4.592,66.334,32.336,14.185,0,0,18.952,0,0,0,98.953,0,0,14.969,7.414,16.329,6.176,0,0.339,-0.06,0,0,4.999,3,5,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9.888,10.252,FlavorsandFragrances,3
579,154.23,6.169,2,56,36,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,206,7.088,0,2.25,0.319,38.904,10,37.088,0.028,5.775,3.916,19.708,10.138,0,32.336,11,34.061,0,34.061,0,0,0,71.099,0,0,17.329,5.892,14.937,7.215,0,4.221,0,0,0,4.344,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.152,9.415,FlavorsandFragrances,3
556,162.2,7.373,8,45.5,45.5,0,9.1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,536,2.308,0,2.237,0.558,59.358,10.209,30.935,0.034,4.219,3.363,10.883,0,56.857,48.34,19.429,0,0,30.377,0,0,0,87.594,0,0,8.429,8.979,17.447,0,0,0,0,0,0,5.075,3,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.084,3.737,FlavorsandFragrances,3
877,186.33,5.324,1,62.9,31.4,0,5.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,340,9.551,0,3.385,0.629,54.422,12,58.747,0.016,8.673,3.972,17.65,22.334,0,32.336,11,0,0,0,0,0,0,47.176,0,0,29.525,6.066,13.492,6.158,2,8.092,0,0,0,5.024,3,3,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8.834,14.757,FlavorsandFragrances,3
460,138.23,5.76,3,58.3,37.5,0,4.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,165,8.318,0,2.091,0.313,34.343,9,29.074,0.038,5.492,5.387,8.825,7.604,37.905,48.34,0,0,0,49.329,0,0,0,65.758,0,0,7.604,3.742,0,0,0,3.562,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.026,7.583,FlavorsandFragrances,3
637,200.36,5.273,1,63.2,31.6,0,5.3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,417,9.02,0,4.09,0.739,61.788,13,66.4,0.014,9.429,4.948,26.476,19.8,0,32.336,11,0,0,0,0,0,0,53.467,0,0,26.991,7.414,14.405,6.158,2,7.993,0.009,0,0,5.071,3,5,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17.349,18.524,FlavorsandFragrances,3
614,94.12,7.24,6,46.2,46.2,0,7.7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,131,1.017,0,1.336,0.242,25.812,7.8978,9.545,0.105,2.645,4.993,0,0,47.381,42.683,0,0,0,0,0,0,0,47.381,0,0,0,6.124,15.686,0,0,0,0,0,8.632,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.268,2.442,FlavorsandFragrances,3
736,142.27,5.081,1,64.3,32.1,0,3.6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,165,8.851,0,2.503,0.498,34.343,9,33.018,0.033,6.82,4.611,8.825,12.673,61.636,0,0,0,0,18.952,0,0,0,40.45,0,0,12.673,3.742,0,0,0,6.543,0,0,8.382,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.983,8.656,FlavorsandFragrances,3
439,126.22,5.488,2,60.9,34.8,0,4.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,114,7.416,0,2.155,0.294,26.272,8,23.481,0.047,5.374,3.219,17.65,7.604,18.952,30.278,0,0,0,18.952,0,0,0,49.34,0,0,12.737,5.183,13.816,0,0,3.419,0,0,0,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.086,4.948,FlavorsandFragrances,3
757,504.83,72.119,2,0,0,0,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7.571,0,14.236,0,13.635,6,11.659,0.106,235.062,38.75,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,9.945,19.329,0,0,0,0,0,0,3.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.755,12.98464698,FlavorsandFragrances,3
492,186.33,5.324,1,62.9,31.4,0,5.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,334,9.551,0,3.385,0.622,53.656,12,57.769,0.016,8.673,3.972,17.65,22.334,0,32.336,11,0,0,0,0,0,0,47.176,0,0,29.525,6.092,13.503,6.158,2,7.849,0,0,0,5.024,3,3,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8.834,14.757,FlavorsandFragrances,3
864,150.25,6.01,6,56,36,8,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,411,1.765,0,2.612,0.696,49.292,9.9547,25.702,0.042,5.99,4.904,26.476,5.069,0,45.342,17.318,0,0,33.571,0,0,0,48.862,33.571,0,13.339,9.071,17.666,0,0,1.967,0,8.705,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.939,2.925,FlavorsandFragrances,3
457,189.01,13.501,6,35.7,42.9,0,14.3,7.1,0,1,6,0,0,0,0,0,0,0,0,0,0,243,1.513,0,2.49,0.535,36.247,8.998,16.003,0.066,1.65,14.865,0,0,28.429,85.367,3.055,0,45.954,0,45.954,0,45.954,77.438,45.954,0,3.055,8.193,17.52,0,0,0,0,0,17.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2.834,4.176,FlavorsandFragrances,3
754,130.21,5.661,1,60.9,30.4,0,8.7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,110,5.508,0,1.928,0.225,25.412,8,28.261,0.03,5.628,2.712,17.65,12.196,0,32.336,11,0,0,0,0,0,0,37.038,0,0,19.387,5.891,13.424,6.158,2,3.135,0,0,0,4.793,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.981,4.067,FlavorsandFragrances,3
497,154.28,5.32,1,62.1,34.5,0,3.4,0,8,1,6,0,0,0,0,0,0,0,0,0,0,399,2.063,0,3.901,1.314,47.496,9.7236,28.297,0.038,7.316,6.062,17.65,23.371,42.683,0,3.186,0,0,0,0,0,0,44.206,0,0,10.789,8.711,14.747,0,3,3.294,0.97,0,9.556,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.558,6.673,FlavorsandFragrances,3
606,198.34,5.509,1,61.1,33.3,0,5.6,0,11,1,6,0,0,0,0,0,0,0,0,0,0,748,3.382,0,5.405,1.671,70.735,11.5071,46.945,0.021,9.102,5.668,35.301,10.138,0,32.336,11,0,0,0,0,0,0,52.63,0,0,17.329,12.239,15.909,6.158,3,4.715,0.682,0,0,5.391,4,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.186,9.69,FlavorsandFragrances,3
420,150.15,7.507,1,50,25,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,125,2.778,0,1.867,0.115,25.969,9,28.208,0.035,4.635,49.103,0,0,170.733,48.34,0,0,0,11.424,0,0,0,11.424,0,0,0,8.946,13.912,0,0,-0.688,-4.718,0,34.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.052,4.723,FlavorsandFragrances,3
787,102.15,6.009,1,58.8,29.4,0,11.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,48,5.636,0,1.658,0,14.176,6,16.222,0.049,4.076,3.47,26.476,0,0,32.336,11,0,0,0,0,0,0,33.667,0,0,7.191,6,13.261,6.158,6,0,0.025,0,0,4.611,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991,0.559,FlavorsandFragrances,3
582,102.2,4.867,0,66.7,28.6,0,4.8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,50,3.8,0,2.026,0.091,14.864,6,15.584,0.071,5.101,4.106,17.65,5.069,42.683,0,0,0,0,0,0,0,0,22.719,0,0,5.069,5.858,10.997,0,2,2.478,0.699,0,8.368,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.519,2.818,FlavorsandFragrances,3
511,204.39,5.241,4,61.5,38.5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,484,9.27,0,4.259,0.618,66.928,14,56.462,0.02,9.213,8.219,35.301,23.371,37.905,0,9.557,0,0,37.905,0,0,0,106.133,0,0,17.16,6.155,15.346,0,0,3.361,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23.386,29.819,FlavorsandFragrances,3
414,258.39,6.302,9,53.7,41.5,0,4.9,0,6,1,6,0,0,0,0,0,0,0,0,0,0,1411,5.231,0,5.092,0.955,107.436,12.1879,82.633,0.011,9.372,8.844,26.476,20.836,66.334,32.336,17.371,0,0,18.952,0,0,0,127.208,0,0,18.632,11.828,17.191,0,5,1.604,0,0,0,5.569,5,6,3,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,18.856,22.837,FlavorsandFragrances,3
689,138.19,6.909,6,50,35,10,5,0,3,1,6,0,0,0,0,0,0,0,0,0,0,326,1.524,0,1.866,0.406,43.864,9.4292,23.843,0.041,4.455,4.25,19.708,2.535,0,57.113,31.851,4.815,0,33.571,0,0,0,47.909,33.571,0,10.106,8.924,17.299,0,0,0.858,0,8.064,0,4.963,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.316,1.002,FlavorsandFragrances,3
672,178.3,5.752,6,58.1,38.7,0,3.2,0,6,1,6,0,0,0,0,0,0,0,0,0,0,597,3.6,0,3.836,0.85,62.406,9.6766,39.104,0.028,7.537,7.436,17.65,7.604,90.065,0,3.186,0,0,0,0,0,0,75.821,0,0,10.789,10.767,16.253,0,7,2.62,0,0,9.785,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,9.667,FlavorsandFragrances,3
423,134.19,6.71,7,50,45,0,5,0,2,1,6,0,0,0,0,0,0,0,0,0,0,320,1.452,0,2.478,0.496,42.428,9.4033,18.555,0.061,4.189,3.851,17.65,0,28.429,48.34,9.557,0,0,11.424,0,0,0,67.06,0,0,9.557,8.64,17.674,0,0,0,0,0,0,0,1,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.854,6.563,FlavorsandFragrances,3
642,242.24,8.651,14,35.7,50,0,14.3,0,0,2,12,0,0,0,0,0,0,0,0,0,0,2739,2.708,0,3.765,1.055,116.591,10.9698,62.029,0.018,4.059,22.685,0,0,75.81,137.476,12.742,0,0,0,0,0,0,90.372,0,0,14.562,9.131,18.231,0,0,0,0,0,17.557,0,2,4,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.252,6.539,FlavorsandFragrances,3
455,182.29,5.88,3,58.1,35.5,0,6.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,318,6.294,0,2.776,0.376,50.876,12,50.992,0.017,7.36,4.642,26.476,9.661,28.429,32.336,14.185,0,0,28.429,0,0,0,74.943,0,0,20.038,7.859,15.905,0,2,2.304,0,0,0,4.983,3,5,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7.661,11.316,FlavorsandFragrances,3
603,108.16,6.76,6,50,37.5,12.5,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,182,1.283,0,1.802,0.232,30.917,8.4152,13.351,0.074,3.494,3.5,17.65,0,0,57.113,23.608,0,0,33.571,0,0,0,41.259,33.571,0,5.513,6.939,16.646,0,0,0,0,8.032,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.001,0.009,FlavorsandFragrances,3
752,102.15,6.009,1,58.8,29.4,0,11.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,52,5.636,0,1.34,0.144,15.405,6,17.449,0.047,4.076,2.691,17.65,7.127,0,32.336,11,0,0,0,0,0,0,31.969,0,0,14.318,5.17,12.947,6.158,2,1.453,0,0,0,4.552,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991,0.799,FlavorsandFragrances,3
454,258.44,5.743,7,57.8,40,0,2.2,0,11,3,12,1,0,0,0,0,0,0,73.949,0,0,3401,2.136,0,7.48,2.827,148.154,16.8295,56.667,0.02,10.966,8.574,61.776,2.535,18.952,30.278,12.742,0,0,0,0,0,0,101.139,0,0,20.41,14.349,19.088,0,0,1.174,0.651,0,0,0,2,2,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.205,22.44,FlavorsandFragrances,3
413,194.35,5.399,2,61.1,36.1,0,2.8,0,10,1,6,0,0,0,0,0,0,0,0,0,0,761,2.96,0,5.198,1.42,72.113,11.6703,41.373,0.027,8.851,5.416,35.301,12.673,0,30.278,6.371,0,0,0,0,0,0,59.478,0,0,24.177,12.8,17.536,5.379,0,5.515,0,0,0,0,2,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.575,10.488,FlavorsandFragrances,3
811,200.36,5.273,1,63.2,31.6,0,5.3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,420,10.636,0,3.738,0.71,62.634,13,67.446,0.014,9.429,4.42,17.65,24.869,0,32.336,11,0,0,0,0,0,0,49.71,0,0,32.06,6.092,13.503,6.158,2,9.148,0,0,0,5.096,3,3,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10.583,18.47,FlavorsandFragrances,3
818,142.22,5.926,2,58.3,33.3,0,8.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,150,6.377,0,1.889,0.244,31.264,9,31.669,0.03,5.718,3.253,17.65,9.661,18.952,32.336,11,0,0,18.952,0,0,0,53.456,0,0,16.853,6.066,13.621,6.296,3,1.847,0,0,0,4.698,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.813,3.845,FlavorsandFragrances,3
882,176.23,7.049,8,48,44,0,8,0,2,1,6,0,0,0,0,0,0,0,0,0,0,625,3.676,0,2.496,0.527,65.314,9.623,41.365,0.024,5.122,3.668,8.825,4.592,66.334,32.336,14.185,0,0,18.952,0,0,0,90.128,0,0,14.969,7.025,16.337,0,3,0.415,0,0,0,4.738,3,2,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.717,6.26,FlavorsandFragrances,3
430,135.2,9.657,10,35.7,50,7.1,0,0,0,3,11,1,0,0,12.724,0,0,23.893,0,0,0,540,0.756,6.581,2.706,0.801,55.162,12.895,12.215,0.086,1.809,2.04,0,0,37.905,35.777,2.144,0.746,0,16.786,31.278,31.278,0,79.293,16.786,0,34.168,9.078,19.02,0,0,0,0,4.137,0,0,2,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2.252,3.663,FlavorsandFragrances,3
876,194.2,8.092,8,41.7,41.7,0,16.7,0,2,1,6,0,0,0,0,0,0,0,0,0,0,750,2.263,0,2.529,0.637,71.124,11.509,42.3,0.024,4.064,6.622,21.766,0,37.905,64.673,28.371,0,0,0,0,0,0,80.425,0,0,20.754,10.492,18.133,0,0,0,0,0,0,9.05,4,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.018,2.374,FlavorsandFragrances,3
700,212.26,7.581,13,42.9,50,0,7.1,0,1,2,12,0,0,0,0,0,0,0,0,0,0,1629,2.376,0,3.543,0.979,98.83,10.3068,47.467,0.022,5.16,8.75,0,0,137.446,30.278,6.371,0,0,0,0,0,0,106.267,0,0,11.505,10.021,17.491,4.007,0,0,-1.08,0,9.893,0,1,3,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,7.417,FlavorsandFragrances,3
823,156.25,5.787,2,59.3,33.3,0,7.4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,206,7.271,0,2.242,0.338,38.904,10,40.14,0.022,6.499,3.451,17.65,12.196,18.952,32.336,11,0,0,18.952,0,0,0,55.99,0,0,19.387,5.892,13.426,6.158,2,2.863,0,0,0,4.848,3,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.152,6.173,FlavorsandFragrances,3
533,178.25,6.602,7,51.9,40.7,0,7.4,0,4,1,6,0,0,0,0,0,0,0,0,0,0,649,4.436,0,2.929,0.706,67.431,9.5701,47.196,0.02,6.02,3.411,8.825,9.661,47.381,32.336,14.185,0,0,0,0,0,0,76.245,0,0,20.038,6.966,15.946,6.158,2,2.377,0,0,0,4.825,3,1,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.169,5.674,FlavorsandFragrances,3
578,156.25,5.787,1,59.3,33.3,0,7.4,0,8,1,6,0,0,0,0,0,0,0,0,0,0,401,3.022,0,3.103,1.063,49.284,9.0046,35.061,0.025,6.767,2.417,8.825,15.207,0,32.336,11,0,0,0,0,0,0,31.224,0,0,22.399,7.363,13.845,6.158,4,6.414,0.233,0,0,5.202,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.941,6.484,FlavorsandFragrances,3
680,136.16,7.564,7,44.4,44.4,0,11.1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,330,2.336,0,1.893,0.421,44.388,8.6344,25.873,0.036,3.355,2.997,0,4.592,47.381,50.398,14.185,0,0,0,0,0,0,68.641,0,0,7.778,6.964,15.897,0,0,0.365,0,0,0,4.539,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.117,2.426,FlavorsandFragrances,3
820,166.29,5.543,3,60,36.7,0,3.3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,286,10.278,0,2.798,0.557,49.629,11,43.697,0.025,7.027,6.015,8.825,12.673,37.905,48.34,0,0,0,49.329,0,0,0,70.827,0,0,12.673,3.828,0,0,0,6.327,0,0,0,0,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.047,13.441,FlavorsandFragrances,3
749,100.18,5.273,1,63.2,31.6,0,5.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,56,5.701,0,1.392,0.171,16.625,6,15.683,0.07,4.582,3.75,8.825,5.069,61.636,0,0,0,0,18.952,0,0,0,32.847,0,0,5.069,3.414,0,0,2,2.143,0,0,8.242,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,2.069,FlavorsandFragrances,3
506,94.13,7.241,6,46.2,38.5,15.4,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,131,0.967,0,1.347,0.192,25.812,7.8978,10.149,0.094,2.604,2.778,8.825,0,0,68.884,29.899,0,0,33.571,0,0,0,38.724,33.571,0,2.757,6.124,15.686,0,0,0,0,7.738,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0.036,FlavorsandFragrances,3
428,232.4,5.668,4,58.5,39,0,2.4,0,9,1,6,0,0,0,0,0,0,0,0,0,0,1287,3.997,0,5.606,1.35,100.555,12.8086,61.641,0.018,9.831,7.851,26.476,25.905,37.905,30.278,3.186,0,0,37.905,0,0,0,98.605,0,0,18.457,12.8,16.728,0,0,3.704,0.406,0,0,0,2,2,5,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13.515,17.718,FlavorsandFragrances,3
738,264.45,5.627,2,59.6,36.2,0,4.3,0,14,3,12,1,0,0,38.769,52.445,0,0,77.431,0,0,3277,3.105,7.002,7.067,2.779,146.983,15.0461,73.917,0.014,11.9,7.038,44.126,12.673,0,32.336,17.371,0,0,0,0,0,0,70.361,0,0,26.235,12.528,17.442,6.158,7,6.136,1.913,0,0,5.59,5,2,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.304,18.361,FlavorsandFragrances,3
558,186.28,6.009,2,58.1,32.3,0,9.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,326,9.25,0,3.207,0.387,52.105,12,59.535,0.014,7.57,5.964,17.65,32.079,9.476,43.336,11,0,0,9.476,0,0,0,66.397,0,0,23.503,6.091,13.557,6.362,2,1.878,0.601,0,0,9.811,2,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.019,4.702,FlavorsandFragrances,3
530,172.25,6.152,2,57.1,32.1,0,10.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,252,8.312,0,2.776,0.384,43.699,11,46.912,0.019,6.607,4.229,17.65,14.731,0,62.615,11,0,0,0,0,0,0,44.706,0,0,27.055,6.181,14.001,6.534,2,2.906,0,0,0,4.842,5,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.056,1.335,FlavorsandFragrances,3
466,172.3,5.384,1,62.5,31.3,0,6.3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,237,7.089,0,3.219,0.758,41.142,11,44.464,0.021,7.916,4.165,26.476,14.731,0,32.336,11,0,0,0,0,0,0,48.397,0,0,21.922,6.842,13.246,6.158,1,5.343,0.564,0,0,4.953,3,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.186,9.228,FlavorsandFragrances,3
649,136.21,6.191,6,54.5,40.9,0,4.5,0,3,1,6,0,0,0,0,0,0,0,0,0,0,320,1.585,0,2.473,0.481,42.428,9.4033,21.652,0.048,5.177,5.337,28.533,0,28.429,0,22.614,0,0,0,0,0,0,68.577,0,0,11.615,8.64,17.592,0,0,0,0,0,0,5.1,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.299,7.762,FlavorsandFragrances,3
