,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
572,186.28,6.009,0,58.1,32.3,0,9.7,0,10,2,12,0,0,0,0,0,0,0,0,0,0,1174,2.035,0,4.388,1.705,75.673,10.7431,42.901,0.02,8.207,4.949,8.825,19.323,42.683,22,0,0,0,0,0,0,0,28.148,0,0,19.323,12.764,15.807,0,0,5.303,0.256,0,9.239,11.234,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,0.94,FlavorsandFragrances,3
841,136.17,7.565,7,44.4,38.9,11.1,5.6,0,2,1,6,0,0,0,0,0,0,0,0,0,0,314,1.393,0,2.047,0.304,42.487,9.3487,20.164,0.051,3.355,2.827,17.65,0,0,87.392,23.608,0,0,33.571,0,0,0,46.392,33.571,0,10.647,9.387,17.683,0,0,0,0,7.783,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.115,0,FlavorsandFragrances,3
502,190.31,5.947,4,56.3,40.6,0,3.1,0,6,1,6,0,0,0,0,0,0,0,0,0,0,729,2.241,0,4.413,0.9,69.82,11.8242,36.481,0.031,7.471,6.045,35.301,2.535,37.905,30.278,6.371,0,0,37.905,0,0,0,87.245,0,0,14.039,13.256,18.11,0,0,0.947,0,0,0,0,2,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.452,11.579,FlavorsandFragrances,3
587,147.19,7.36,10,45,45,5,5,0,1,2,10,0,0,0,55.422,0,0,0,0,0,0,680,1.476,6.952,2.435,0.446,55.761,8.5217,27.76,0.032,4.092,4.049,0,2.106,67.739,0,11.406,40.762,0,0,0,0,0,75.294,1.899,0,7.555,7.716,16.948,0,0,0.819,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.772,4.445,FlavorsandFragrances,3
505,152.26,5.639,1,59.3,37,0,3.7,0,9,3,10,2,0,0,43.39,0,0,0,0,0,0,729,0.606,7.978,4.917,1.755,52.939,10.7278,22.309,0.05,6.824,4.12,26.476,7.604,0,30.278,0,0,0,0,0,0,0,39.213,0,0,12.737,16.809,18.08,5.379,0,3.252,0.681,0,0,0,2,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.558,3.747,FlavorsandFragrances,3
797,196.37,5.168,2,63.2,34.2,0,2.6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,455,12.512,0,3.828,0.969,67.694,13,64.409,0.017,9.142,6.727,8.825,22.811,18.952,48.34,0,0,0,30.377,0,0,0,62.013,0,0,22.811,3.878,0,0,0,11.884,0,0,0,0,1,1,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19.345,25.233,FlavorsandFragrances,3
735,170.28,5.676,1,60,33.3,0,6.7,0,9,1,6,0,0,0,0,0,0,0,0,0,0,522,4.313,0,3.633,1.305,58.558,9.2479,43.468,0.021,7.551,2.734,8.825,19.8,0,32.336,11,0,0,0,0,0,0,35.816,0,0,26.991,6.968,13.267,6.158,2,8.488,0.818,0,0,4.906,3,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.238,6.753,FlavorsandFragrances,3
552,144.24,5.548,1,61.5,30.8,0,7.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,130,4.168,0,2.795,0.28,26.957,9,29.992,0.03,6.395,4.897,35.301,2.535,0,32.336,11,0,0,0,0,0,0,45.027,0,0,9.726,7.996,14.634,6.158,6,0.853,0.059,0,0,4.964,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.244,5.443,FlavorsandFragrances,3
868,178.25,6.602,7,51.9,40.7,0,7.4,0,4,1,6,0,0,0,0,0,0,0,0,0,0,601,3.859,0,3.201,0.567,63.051,9.6851,42.859,0.022,6.02,4.294,17.65,2.535,47.381,32.336,14.185,0,0,0,0,0,0,77.943,0,0,12.911,7.46,16.11,6.296,6,0.36,-0.031,0,0,5.015,4,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.169,5.985,FlavorsandFragrances,3
407,156.22,8.679,6,44.4,38.9,0,11.1,0,2,1,5,0,0,0,27.805,0,0,0,0,0,0,294,2.743,6.26,3.012,0.622,39.791,7.8557,23.357,0.046,3.389,3.003,8.825,0.9,30.692,28.644,9.507,17.22,0,0,32.22,32.22,0,81.584,0,0,42.067,7.028,16.221,10.152,0,0.641,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,2.427,FlavorsandFragrances,3
824,154.28,5.32,2,62.1,34.5,0,3.4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,174,4.773,0,3.606,0.436,32.784,10,29.493,0.039,6.886,7.082,35.301,2.535,9.476,48.34,3.186,0,0,20.9,0,0,0,61.921,0,0,5.72,8.053,15.455,0,0,1.006,1.009,0,0,0,1,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,10.472,FlavorsandFragrances,3
849,154.28,5.32,0,62.1,34.5,0,3.4,0,10,3,12,3,0,0,0,0,0,0,0,0,0,772,1.1,0,4.93,1.955,54.943,10.6535,25.296,0.038,7.692,2.718,26.476,10.138,0,11,0,0,0,0,0,0,0,36.614,0,0,10.138,13.163,16.579,0,14,5.315,0.823,0,0,6.06,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.262,4.613,FlavorsandFragrances,3
808,168.26,6.009,2,57.1,35.7,0,7.1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,270,8.195,0,2.604,0.459,46.731,11,44.692,0.024,6.572,4.35,19.708,12.673,0,32.336,11,34.061,0,34.061,0,0,0,73.633,0,0,19.864,5.892,14.937,7.215,0,5.559,0,0,0,4.365,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.621,12.423,FlavorsandFragrances,3
812,133.21,6.343,6,52.4,42.9,4.8,0,0,3,3,12,1,0,0,0,0,0,0,29.717,0,0,751,1.08,0,2.687,1,69.062,14.0354,19.12,0.054,4.985,3.591,0,7.175,37.905,18.011,5.942,0,0,18.011,0,0,0,51.022,18.011,0,13.117,9.043,17.331,0,2,3.65,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.485,4.707,FlavorsandFragrances,3
417,198.34,5.509,2,61.1,33.3,0,5.6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,420,10.377,0,3.346,0.595,62.634,13,64.884,0.014,8.809,4.229,17.65,19.8,18.952,32.336,11,0,0,18.952,0,0,0,63.594,0,0,26.991,6.092,13.504,6.158,2,6.21,0,0,0,5.045,3,3,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9.895,14.846,FlavorsandFragrances,3
644,88.12,6.294,1,57.1,28.6,0,14.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,5.016,0,1.144,0,11.059,5,11.113,0.091,3.27,9.043,8.825,5.069,0,68.738,0,0,0,0,0,0,0,14.804,0,0,5.979,5.118,12.932,5.889,0,1.023,0,0,7.913,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.798,FlavorsandFragrances,3
