MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
655.88,7.716,8,8,5,2,0,0,2,32.9,5.9,10.6,3,4,1,1,0,0,103.522,110.394,137.385,196.959,0,0,0,0,53681,2.907,2.629,10.08,4.875,0.412,3.941,0.465,15.5605,1.63,1.399,0.002,-2.64,3.973,7.484,2,1,3,2,4,0,0,1,0,1,0,0,4.574,-1.33,1.769,0.794,Antibacterial,0
1449.4,8.235,38,8,9,0,0,2,2,37.5,5.1,13.6,10,75,17,0,0,0,0,0,0,0,0,0,0,301.508,15414512,3.679,1.099,18.363,8.833,0.327,4.275,0.745,40.7431,1.372,2.149,0.001,-3.55,4.004,7.478,5,0,15,1,0,0,0,6,5,3,3,2,14.058,-5.691,32.393,0.04,Antibacterial,0
337.39,7.668,8,2,3,0,1,0,0,36.4,6.8,9.1,3,3,0,1,0,0,0,0,71.571,0,0,0,0,0,8999,2.205,1.195,4.047,1.857,0.605,3.471,0.699,11.6541,1.8621,0.998,0.007,-2.277,3.807,8.201,1,0,1,0,0,0,0,1,0,1,0,1,-0.219,0.892,0.795,0.8,Antibacterial,0
365.45,8.306,9,3,3,1,0,0,1,36.4,6.8,11.4,3,4,1,1,0,0,0,50.636,63.579,91.681,0,0,0,0,9786,2.721,0.898,6.006,3.291,0.652,3.988,0.625,12.4573,2.0258,1,0.008,-2.129,4.037,7.477,2,0,2,1,0,0,0,0,0,0,0,0,2.686,0.987,0.975,0.831,Antibacterial,0
492.341,10.475,14,3,3,1,0,2,4,40.4,6.4,10.6,4,5,1,2,0,0,0,59.185,162.863,108.043,0,0,0,0,30784,2.199,0.997,8.045,4.7,0.567,4.123,0.644,13.9655,1.821,-1.02,0.006,-1.96,4.097,7.436,3,0,2,1,0,0,0,0,0,0,0,2,-0.201,3.204,10.264,12.91399506,Antibacterial,0
564.492,10.08,16,5,6,1,0,0,3,35.7,10.7,16.1,4,5,1,1,0,0,0,79.75,118.491,0,164.353,0,0,0,36172,3.395,1.196,9.105,4.273,0.535,4.539,0.384,14.3062,1.8891,-1.741,0.004,-2.577,3.999,7.609,0,0,1,0,1,1,0,1,0,2,0,0,0.384,1.328,1.763,12.91399506,Antibacterial,0
1141.5,6.754,17,11,2,0,0,0,0,35.5,1.2,11.2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,339816,3.538,0.787,14.555,6.387,0.365,3.671,1.08,38.405,1.6058,1.785,0.001,-3.219,3.711,7.435,3,0,23,2,14,0,2,0,9,3,0,0,7.653,-0.898,0.807,1.402,Antibacterial,0
693.08,9.626,21,9,2,1,0,1,2,40.3,2.8,19.4,5,11,3,0,0,3,0,0,0,0,0,0,0,0,159627,6.283,0.951,9.652,5.631,0.658,4.527,0.382,25.96,2.109,1.611,0.003,-2.913,4.741,7.768,0,0,2,3,1,3,0,0,0,0,1,1,5.346,-1.437,2.066,0.012,Antibacterial,0
484.541,9.889,15,4,6,2,0,0,3,36.7,12.2,10.2,4,5,1,1,0,0,0,65.026,96.392,0,132.974,0,0,0,26572,2.722,0.922,7.851,4.442,0.5,4.284,0.398,13.1847,1.8092,-0.996,0.005,-2.185,4.027,7.437,0,0,1,0,1,1,0,1,1,0,0,0,0.394,1.884,3.549,12.91399506,Antibacterial,0
196.28,6.543,2,1,2,0,0,0,0,33.3,6.7,6.7,1,1,0,1,0,0,0,0,42.269,0,0,0,0,0,676,2.04,1.747,2.03,0.628,1.432,2.548,1.309,10.3506,2.9812,0.57,0.016,-1.526,3.615,7.433,3,0,3,0,0,0,0,0,0,0,0,0,-0.696,0.538,0.289,2.521,Antibacterial,0
615.73,7.077,0,0,5,0,0,0,0,26.4,5.7,16.1,4,4,0,1,0,0,0,0,118.797,0,0,0,0,0,63240,2.954,0.924,8.319,3.867,0.518,3.058,1.069,16.359,1.7575,1.637,0.002,-3.035,3.632,6.331,3,0,17,0,0,0,0,0,6,6,0,0,14.348,-6.446,41.557,75.153,Antibacterial,0
1422.93,7.01,26,15,17,1,0,0,1,32.5,8.4,7.9,4,4,0,2,0,0,0,0,654.906,0,0,0,0,0,253878,3.276,1.311,18.638,7.667,0.458,3.525,1.531,36.105,1.9212,1.996,0.001,-3.401,3.92,7.483,9,0,11,0,0,0,0,11,0,0,0,0,13.202,-4.011,16.086,0.002,Antibacterial,0
185.24,7.41,12,0,1,0,0,0,0,48,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1407,0.926,0.544,1.859,0.769,0.877,2.202,1.07,10.0307,2.41,0.325,0.019,-1.03,3.697,4.867,0,0,0,0,0,0,0,0,0,0,1,0,0.408,2.782,7.741,6.989,Antibacterial,0
350.44,8.344,5,5,4,1,0,0,1,35.7,9.5,9.5,4,6,2,3,0,0,0,44.906,158.066,78.649,85.006,0,0,0,15387,2.99,0.99,6.557,4.088,0.671,3.759,0.322,12.8272,1.9874,0.959,0.01,-2.055,4.021,7.61,2,0,2,2,2,0,0,0,1,0,0,0,-0.177,2.177,4.737,12.91399506,Antibacterial,0
1141.64,6.561,22,10,12,0,0,0,0,34.5,6.9,5.7,5,8,2,2,0,0,0,0,289.696,0,0,0,0,0,433154,2.549,1.193,15.305,6.866,0.447,3.171,2.216,38.7053,1.7207,1.633,0.001,-3.006,3.716,7.449,10,0,14,0,0,0,0,8,0,0,0,0,6.823,-0.619,0.383,11.113,Antibacterial,0
355.43,9.873,15,4,3,2,0,0,2,36.1,8.3,13.9,2,2,0,1,0,0,0,0,78.106,0,0,0,0,0,4206,4.659,1.659,4.841,2.087,0.666,4.072,0.389,11.406,2.5635,1.026,0.009,-2.081,4.716,7.716,0,0,0,0,0,0,0,1,0,0,0,0,1.204,0.56,0.314,0.529,Antibacterial,0
457.53,7.625,11,5,3,0,0,0,0,38.3,5,11.7,4,10,3,0,0,3,0,0,0,0,0,0,0,0,51847,3.876,0.998,7.063,4.247,0.743,4.003,0.717,24.5971,2.0399,1.144,0.007,-2.416,3.979,7.451,0,0,3,3,2,2,0,0,0,0,0,0,3.186,-0.392,0.154,0.014,Antibacterial,0
389.47,7.49,9,3,3,0,1,0,0,38.5,5.8,7.7,4,5,1,0,0,1,38.954,0,0,0,0,0,0,0,17145,2.974,0.993,5.43,3.019,0.713,3.692,0.635,15.1159,2.0362,0.998,0.007,-2.277,3.978,8.201,0,0,6,0,0,1,0,0,0,0,1,1,0.282,1.601,2.565,4.263,Antibacterial,0
765.15,6.073,3,3,0,0,0,0,0,34.1,0,8.7,5,5,0,1,0,0,0,0,153.454,0,0,0,0,0,194546,2.623,1.016,14.774,7.583,0.406,2.773,1.198,15.9214,1.4713,1.312,0.002,-2.653,3.764,7.477,11,0,14,6,2,0,0,0,2,5,0,0,1.222,2.922,8.54,36.709,Antibacterial,0
554.581,9.903,15,9,4,2,0,0,3,39.3,7.1,14.3,4,5,1,0,0,0,0,79.465,0,0,161.719,0,0,0,38546,5.209,1.072,10.211,5.211,0.486,4.369,0.335,13.893,1.7731,-0.808,0.004,-2.424,4.709,7.72,0,0,1,0,3,2,0,1,0,0,0,0,0.943,0.227,0.051,12.91399506,Antibacterial,0
473.901,9.873,14,3,3,1,0,1,3,39.6,6.3,12.5,4,5,1,2,0,0,0,60.028,165.313,109.553,0,0,0,0,30276,2.288,1.144,7.403,4.067,0.551,4.131,0.506,13.6794,1.7806,-1.007,0.005,-2.139,4.046,7.437,3,0,2,1,0,0,0,0,0,0,0,1,-0.201,2.786,7.76,12.91399506,Antibacterial,0
604.81,6.952,13,7,10,0,0,0,0,31,11.5,6.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10114,2.924,3.339,6.16,2.417,0.924,3.686,1.152,23.3069,3.2328,1.35,0.002,-2.653,3.623,7.478,2,0,0,0,0,0,0,2,0,0,0,0,9.155,-0.428,0.183,0.064,Antibacterial,0
665.77,7.653,3,3,5,1,0,0,1,25.3,5.7,18.4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,39131,5.95,1.497,8.029,3.833,0.637,3.67,0.651,18.0744,2.2063,1.742,0.002,-3.127,4.715,7.776,3,0,12,1,0,0,0,1,6,4,0,0,11.173,-5.119,26.207,46.587,Antibacterial,0
