No.,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
21,457.05,7.372,1,53.2,29,3.2,11.3,1.6,17,2,11,0,0,0,96.091,0,0,0,0,0,0,6823,6.036,6.804,8.983,3.255,217.579,14.7228,181.305,0.005,16.248,32.857,33.237,27.72,128.05,40.849,3.124,77.486,0,0,72.138,72.138,0,119.789,21.135,0,46.633,11.173,16.071,4.573,6,3.704,-7.458,0,30.855,15.033,5,3,6,4,3,13,0,0,13,0,0,0,39,0,0,0,0,4,0.184,3.835,Antibacterial,0
22,492.341,10.475,14,34,40.4,6.4,10.6,4.3,7,5,20,1,0,59.185,162.863,108.043,0,0,0,0,0,30784,3.94,7.854,10.787,4.7,321.089,13.9655,175.214,0.006,4.145,16.718,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,14.097,19.432,6.257,6,0,-1.84,3.972,0,5.009,6,4,5,2,8,12,0,0,38,0,0,0,88,0,0,0,4,8,10.264,12.98464698,Antibacterial,0
23,185.24,7.41,12,44,48,4,4,0,0,2,12,0,0,0,0,0,0,0,0,0,0,1407,2.425,0,2.984,0.769,86.894,10.0307,43.753,0.019,4.942,5.856,0,0,118.183,0,24.243,0,0,0,0,0,0,98.53,32.897,0,13.244,7.739,17.089,0,0,0,0,0,0,5.578,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.741,6.989,Antibacterial,0
24,444.48,7.937,11,42.9,39.3,3.6,14.3,0,9,10,24,3,0,0,0,0,0,0,269.926,0,0,45481,2.731,0,8.962,4.179,479.378,25.2219,143.623,0.007,10.997,56.177,25.618,35.432,113.795,218.456,15.867,0,0,0,0,0,0,84.295,36.022,0,30.248,15.938,19.694,4.27,4,-0.2,-3.423,0,55.036,0,5,5,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.766,1.233,Antibacterial,0
25,848.06,6.839,6,52.4,32.3,0.8,14.5,0,32,3,28,0,0,0,0,0,0,0,0,0,0,94435,13.057,0,16.785,5.111,198.409634,29.7768,568.768,0.002,29.81,68.499,80.627,12.673,252.041,284.152,14.124,23.542,0,49.329,0,0,0,152.359,3.124,0,21.684,14.154,17.639,7.41,13,-0.431,-18.521,0,74.519,42.005,12,12,18,11,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1.971,0.529,Antibacterial,0
26,828.12,6.521,6,54.3,33.1,0.8,11.8,0,34,3,28,0,0,0,0,0,0,0,0,0,0,106917,14.701,0,16.964,5.217,198.409634,29.039,586.08,0.002,31.183,40.857,98.277,15.207,166.674,200.348,36.124,23.542,0,49.329,0,0,0,185.107,3.124,0,36.781,12.932,16.885,7.255,16,0.281,-13.79,0,34.601,48.553,15,12,18,11,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0.349,8.75,Antibacterial,0
27,667.731,9.405,18,36.6,35.2,12.7,11.3,0,10,6,27,1,0,99.013,146.347,0,204.319,0,0,0,0,66773,7.083,6.529,12.485,5.445,538.27,13.9033,384.999,0.003,10.191,35.59,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,12.791,18.774,5.744,3,1.067,-3.057,11.305,9.761,5.105,5,5,10,4,3,114,0,0,0,0,0,0,0,0,0,0,0,12,0.76,12.98464698,Antibacterial,0
28,473.901,9.873,14,35.4,39.6,6.3,12.5,2.1,7,5,20,1,0,60.028,165.313,109.553,0,0,0,0,0,30276,4.051,7.854,10.234,4.067,320.018,13.6794,186.648,0.005,5.745,16.794,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,14.099,19.249,6.257,6,0,-1.991,3.991,0,9.339,6,5,4,4,7,12,0,0,19,0,0,0,57,0,0,0,0,8,7.76,12.98464698,Antibacterial,0
29,1882.59,6.821,56,50.7,35.9,7.2,6.2,0,51,12,44,4,0,0,1970.949,0,0,3605.118,0,0,0,465201,33.299,8.209,38.211,10.396,198.409634,19.303,117.4183376,0,63.051,58.17,158.854,312.66,230.493,495.655,90.176,55.661,0,0,0,0,0,484.327,355.314,0,126.668,10.343,20.896,7.261,26,-1.192,-21.442,0,9.707,0,0,14,29,44,61,0,0,0,0,0,0,0,0,0,0,0,0,42,12.192,78.62,Antibacterial,0
30,785.97,7.277,26,47.2,39.8,2.8,10.2,0,19,15,41,17,0,0,125.25,0,0,356.164,126.597,0,0,816390,7.48,7.854,15.597,5.375,198.409634,37.8246,417.689,0.002,23.317,37.234,90.31,29.545,151.272,218.332,51.319,25.686,0,54.691,0,0,0,216.67,36.083,0,48.921,14.067,21.485,6.421,1,0,-6.158,4.865,46.58,23.817,17,15,16,15,30,0,0,0,0,0,0,0,0,0,0,0,0,12,3.328,24.931,Antibacterial,0
31,554.581,9.903,15,33.9,39.3,7.1,14.3,0,5,5,22,1,0,79.465,0,0,161.719,0,0,0,0,38546,5.757,0,12.105,5.211,394.148,13.893,261.433,0.004,8.743,51.121,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,13.284,20.018,8.391,0,0.313,-3.578,0,0,4.71,6,9,8,8,3,52,0,0,0,0,0,0,0,0,0,0,0,8,0.051,12.98464698,Antibacterial,0
32,423.461,9.01,14,38.3,40.4,6.4,10.6,0,7,5,20,1,0,55.638,153.804,101.496,0,0,0,0,0,24220,3.548,7.854,9.742,4.411,286.039,13.0793,160.098,0.006,7.397,12.616,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,14.097,19.089,6.257,6,0,-1.669,4.019,0,5.011,6,6,3,6,6,12,0,0,0,0,0,0,0,0,0,0,0,8,4.916,12.98464698,Antibacterial,0
33,693.08,9.626,21,34.7,40.3,2.8,19.4,1.4,7,11,30,3,0,0,0,0,0,0,436.288,0,0,159627,4.971,0,13.041,5.631,198.409634,25.96,277.986,0.003,11.976,128.304,16.793,48.664,121.023,374.62,43.532,0,39.149,40.488,0,40.488,0,156.671,36.022,0,45.719,16.183,20.753,4.699,1,0,-7.563,0,74.217,6.001,8,11,14,7,7,17,0,0,19,0,0,0,124,0,0,0,0,5,2.066,0.012,Antibacterial,0
34,585.73,7.231,12,48.1,35.8,6.2,9.9,0,15,10,24,3,0,0,0,0,0,0,414.829,0,0,97953,5.255,0,12.655,4.836,661.074,24.5525,278.495,0.004,17.983,39.132,60.061,58.083,70.17,248.306,24.504,0,0,0,0,0,0,114.644,75.167,0,45.107,15.884,19.831,5.114,9,0.053,-2.907,0,45.406,0,7,7,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0.529,0.147,Antibacterial,0
35,492.46,8.347,11,42.4,37.3,3.4,15.3,0,9,10,24,3,0,0,0,0,0,0,291.311,0,0,52269,3.183,0,9.293,4.419,514.19,25.6817,166.274,0.006,13.479,49.796,25.618,35.432,71.112,218.456,15.867,23.353,0,0,53.596,53.596,0,137.891,36.022,0,30.248,15.972,19.707,4.27,4,-0.147,-3.292,0,44.218,10.451,8,12,7,7,1,0,19,0,0,0,0,60,0,0,0,0,0,5,0.619,0.417,Antibacterial,0
36,457.53,7.625,11,45,38.3,5,11.7,0,10,10,24,3,0,0,0,0,0,0,283.816,0,0,51847,3.113,0,9.315,4.247,497.179,24.5971,160.211,0.007,12.417,39.387,33.586,37.966,61.636,218.456,21.748,0,0,0,0,0,0,88.078,39.146,0,35.54,15.884,19.677,4.273,0,0.324,-2.645,0,43.923,0,7,8,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0.154,0.014,Antibacterial,0
37,467.6,6.777,0,53.6,26.1,7.2,13,0,18,3,18,0,0,0,0,0,0,0,0,0,0,18888,5.425,0,8.785,3.016,310.034,15.2583,228.646,0.004,18.038,67.098,0,171.661,214.136,44,0,23.542,0,0,0,0,0,7.894,164.486,0,7.175,10.924,15.931,0,0,-0.117,-14.412,0,50.71,22.716,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20.338,47.057,Antibacterial,0
