,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
21,492.341,10.475,14.0,3.0,3.0,1.0,0.0,2.0,4.0,40.4,6.4,10.6,4.0,5.0,1.0,2.0,0.0,0.0,0.0,59.185,162.863,108.043,0.0,0.0,0.0,0.0,30784.0,2.199,0.997,8.045,4.7,0.567,4.123,0.644,13.9655,1.821,-1.02,0.006,-1.96,4.097,7.436,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.201,3.204,10.264,12.9139950622,Antibacterial,0
22,185.24,7.41,12.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,0.926,0.544,1.859,0.769,0.877,2.202,1.07,10.0307,2.41,0.325,0.019,-1.03,3.697,4.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.408,2.782,7.741,6.989,Antibacterial,0
23,444.48,7.937,11.0,5.0,2.0,0.0,0.0,0.0,0.0,39.3,3.6,14.3,4.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45481.0,3.995,0.937,7.022,4.179,0.811,4.166,0.505,25.2219,2.1078,1.178,0.007,-2.468,3.993,7.451,1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.093,-0.875,0.766,1.233,Antibacterial,0
24,848.06,6.839,6.0,6.0,1.0,0.0,0.0,0.0,0.0,32.3,0.8,14.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94435.0,4.865,1.295,11.303,5.111,0.656,3.41,0.773,29.7768,2.3457,1.719,0.002,-3.144,3.703,7.485,6.0,1.0,15.0,2.0,4.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,3.395,-1.404,1.971,0.529,Antibacterial,0
25,828.12,6.521,6.0,6.0,1.0,0.0,0.0,0.0,0.0,33.1,0.8,11.8,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106917.0,2.751,1.353,10.917,5.217,0.613,3.186,0.873,29.039,2.2688,1.576,0.002,-2.976,3.643,7.44,8.0,0.0,15.0,3.0,4.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.644,0.591,0.349,8.75,Antibacterial,0
26,667.731,9.405,18.0,7.0,9.0,2.0,0.0,0.0,3.0,35.2,12.7,11.3,5.0,6.0,1.0,1.0,0.0,0.0,0.0,99.013,146.347,0.0,204.319,0.0,0.0,0.0,66773.0,2.728,0.926,10.18,5.445,0.409,4.333,0.387,13.9033,1.5645,-0.441,0.003,-2.659,4.028,7.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.903,0.872,0.76,12.9139950622,Antibacterial,0
27,473.901,9.873,14.0,3.0,3.0,1.0,0.0,1.0,3.0,39.6,6.3,12.5,4.0,5.0,1.0,2.0,0.0,0.0,0.0,60.028,165.313,109.553,0.0,0.0,0.0,0.0,30276.0,2.288,1.144,7.403,4.067,0.551,4.131,0.506,13.6794,1.7806,-1.007,0.005,-2.139,4.046,7.437,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.201,2.786,7.76,12.9139950622,Antibacterial,0
28,1882.59,6.821,56.0,16.0,20.0,0.0,0.0,0.0,0.0,35.9,7.2,6.2,8.0,12.0,4.0,4.0,4.0,0.0,0.0,0.0,1970.949,0.0,0.0,3605.118,0.0,0.0,465201.0,2.81,2.357,23.583,10.396,0.228,3.45,2.732,19.303,1.0935,2.073,0.0,-3.509,3.966,7.462,19.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,13.1,-3.492,12.192,78.62,Antibacterial,0
29,785.97,7.277,26.0,6.0,3.0,0.0,0.0,0.0,0.0,39.8,2.8,10.2,6.0,15.0,17.0,2.0,3.0,1.0,0.0,0.0,125.25,0.0,0.0,356.164,0.0,0.0,816390.0,3.208,0.895,11.527,5.375,0.441,4.081,0.702,37.8246,1.6853,1.417,0.002,-2.773,4.244,7.436,9.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.903,1.824,3.328,24.931,Antibacterial,0
30,554.581,9.903,15.0,9.0,4.0,2.0,0.0,0.0,3.0,39.3,7.1,14.3,4.0,5.0,1.0,0.0,0.0,0.0,0.0,79.465,0.0,0.0,161.719,0.0,0.0,0.0,38546.0,5.209,1.072,10.211,5.211,0.486,4.369,0.335,13.893,1.7731,-0.808,0.004,-2.424,4.709,7.72,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.943,0.227,0.051,12.9139950622,Antibacterial,0
31,423.461,9.01,14.0,3.0,3.0,1.0,0.0,0.0,2.0,40.4,6.4,10.6,4.0,5.0,1.0,2.0,0.0,0.0,0.0,55.638,153.804,101.496,0.0,0.0,0.0,0.0,24220.0,2.09,0.998,7.263,4.411,0.564,3.916,0.703,13.0793,1.7629,-1.161,0.006,-2.012,4.038,7.436,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.234,2.217,4.916,12.9139950622,Antibacterial,0
32,693.08,9.626,21.0,9.0,2.0,1.0,0.0,1.0,2.0,40.3,2.8,19.4,5.0,11.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159627.0,6.283,0.951,9.652,5.631,0.658,4.527,0.382,25.96,2.109,1.611,0.003,-2.913,4.741,7.768,0.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.346,-1.437,2.066,0.012,Antibacterial,0
33,585.73,7.231,12.0,6.0,5.0,0.0,0.0,0.0,0.0,35.8,6.2,9.9,4.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97953.0,3.977,1.495,8.234,4.836,0.604,3.961,0.967,24.5525,1.9588,1.298,0.004,-2.61,3.995,7.451,3.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.584,-0.728,0.529,0.147,Antibacterial,0
34,492.46,8.347,11.0,5.0,2.0,0.0,0.0,0.0,1.0,37.3,3.4,15.3,4.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52269.0,3.988,1.139,7.316,4.419,0.809,4.386,0.513,25.6817,2.1663,1.225,0.006,-2.525,3.996,7.451,1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203,-0.787,0.619,0.417,Antibacterial,0
35,457.53,7.625,11.0,5.0,3.0,0.0,0.0,0.0,0.0,38.3,5.0,11.7,4.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51847.0,3.876,0.998,7.063,4.247,0.743,4.003,0.717,24.5971,2.0399,1.144,0.007,-2.416,3.979,7.451,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.186,-0.392,0.154,0.014,Antibacterial,0
36,467.6,6.777,0.0,0.0,5.0,0.0,0.0,0.0,0.0,26.1,7.2,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18888.0,2.774,0.931,6.415,3.016,0.65,3.063,0.754,15.2583,1.9833,1.363,0.004,-2.695,3.593,6.295,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,12.154,-4.51,20.338,47.057,Antibacterial,0
37,665.77,7.653,3.0,3.0,5.0,1.0,0.0,0.0,1.0,25.3,5.7,18.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39131.0,5.95,1.497,8.029,3.833,0.637,3.67,0.651,18.0744,2.2063,1.742,0.002,-3.127,4.715,7.776,3.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,11.173,-5.119,26.207,46.587,Antibacterial,0
38,383.52,7.52,4.0,4.0,3.0,1.0,0.0,0.0,1.0,33.3,5.9,9.8,3.0,4.0,1.0,2.0,0.0,0.0,0.0,53.754,137.241,93.926,0.0,0.0,0.0,0.0,11693.0,2.786,1.251,6.946,4.186,0.713,3.459,0.608,13.2094,2.1717,1.0,0.009,-2.129,4.014,7.479,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.05,0.725,0.526,1.802,Antibacterial,0
39,476.551,11.083,14.0,4.0,8.0,3.0,0.0,0.0,4.0,32.6,18.6,9.3,4.0,5.0,1.0,2.0,0.0,0.0,0.0,60.934,182.043,0.0,124.235,0.0,0.0,0.0,22155.0,2.178,0.922,8.086,4.902,0.501,4.227,0.25,12.5275,1.8653,-0.959,0.006,-2.14,4.28,7.437,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.052,1.068,1.141,12.9139950622,Antibacterial,0
