,class,f1_score,precision,recall,support
0,,0.62,0.0,0.62,0.62
1,,0.68,1.0,0.68,0.68
2,,0.7,2.0,0.76,0.73
3,,0.78,3.0,0.85,0.81
4,,0.86,4.0,0.8,0.83
5,,0.52,5.0,0.93,0.67
6,,0.8,6.0,0.59,0.68
7,,0.74,7.0,0.77,0.76
8,,0.96,8.0,0.8,0.87
