,No.,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,BLI,CENT,ICR,Wap,MAXDN,LOC,X5v,Yindex,IC1,CIC1,CIC5,Chi_D/Dt,J_D/Dt,J_Dz(Z),SpPosA_Dz(e),SM1_Dz(e),ChiA_Dz(p),SpMax_B(m),SpMax_B(s),ATSC1m,ATSC1p,GATS7m,GATS8m,GATS6e,GATS7p,GATS7s,GATS8s,SpMax2_Bh(m),P_VSA_LogP_1,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_8,P_VSA_v_3,P_VSA_v_4,P_VSA_s_1,SpDiam_EA(bo),SpMax_AEA(dm),SM13_EA(dm),SM09_AEA(dm),Eig02_EA(dm),nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nArOH,nOHs,nROR,nArOR,nArX,C-005,C-006,C-011,C-019,C-026,C-028,C-034,H-046,H-048,H-049,H-051,H-052,H-053,O-060,O-061,N-075,F-083,SdCH2,SssCH2,StCH,StsC,SdssC,SaasC,SaaaC,SdNH,SsssN,StN,SaaNH,SaaO,SdsssP,SdS,SssS,SddssS,SsBr,NssssC,NsNH2,NdsN,CATS2D_04_DD,CATS2D_05_DD,CATS2D_07_DD,CATS2D_02_DA,CATS2D_04_DA,CATS2D_07_DA,CATS2D_01_DN,CATS2D_02_DL,CATS2D_01_AA,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_05_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_09_AA,CATS2D_05_AN,CATS2D_01_AL,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_03_PL,CATS2D_05_PL,CATS2D_06_PL,CATS2D_08_PL,CATS2D_03_NL,CATS2D_06_NL,CATS2D_09_NL,CATS2D_03_LL,CATS2D_08_LL,T(N..S),T(N..P),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..Cl),T(S..Br),T(P..F),T(P..Cl),T(P..Br),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),T(Br..Br),F02[C-P],F02[C-Si],F02[N-N],F02[N-S],F02[O-S],F03[C-Si],F03[C-X],F03[N-O],F03[O-F],F03[O-X],F03[Cl-Cl],F04[N-N],F04[N-O],F04[O-O],F04[O-S],F04[O-Cl],F05[N-N],F05[N-F],F05[O-S],F05[O-F],F05[O-Cl],F06[C-X],F06[N-F],F06[O-F],F06[O-Cl],F07[N-N],F07[N-O],F07[O-S],F07[O-F],F08[C-S],F08[C-Cl],F08[N-N],F08[O-F],F09[O-O],F09[O-F],F09[O-X],F10[N-N],F10[N-O],F10[O-O],MLOGP2,ALOGP2,BLTF96,Class,Label
1136,1137,661.67,9.064,49,7,7,0,0,0,0,50.7,9.6,8.2,0,8,23,8,4,0,0,0,0,0,0,0,0,0,0.806,4890,2.95,448863,2.456,0.723,4.169,0.371,3.025,3.165,1.103,2.807,17.778,1.5788,5.147,1.237,0.003,4.083,7.821,9.063,5.503,0.708,0.891,0.395,0.983,0.341,0.537,4.026,17.01,12.865,152.241,0,235.287,0,0,7.634,3.778,13.551,1.245,2.612,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5.337,4.428,0,0,0,10.528,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,0,10,6,3,0,0,0,0,2,0,0,0,10,20,7,0,0,0,0,0,0,0,25,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,22.696,90.549,-5.44,Chelating Agents,2
1088,1089,412.204,10.847,4,4,2,0,0,0,4,26.3,5.3,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,1320,2.955,2025,3.169,2.777,16.587,1.646,3.339,1.909,0.777,1,25,5.5804,22.296,-2.632,0.004,3.684,7.614,5.352,456.811,0.655,1.534,0.668,0.574,0.752,2.159,3.674,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,4.953,3.708,12.633,-1,2.384,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.767,0,0,-5.36,0,0,0,2.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,2,1,16,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,16,0,2,0,0,4,1.38,13.7689722,-0.39,Chelating Agents,2
1054,1055,608.64,8.572,29,5,4,0,2,0,0,47.9,5.6,7,2.8,6,9,2,0,0,2,0,0,0,0,0,0,0,0.839,4604,2.994,132798,2.935,0.632,3.804,0.378,4.045,2.104,0.479,2.229,15.9215,1.4229,6.099,1.227,0.003,3.999,8.204,10.638,6.319,1.029,1.046,0.697,1.157,1.138,1.087,3.868,0,29.92,0,0,208.679,0,0,7.402,3.655,0.646,1.218,0.995,0,0,0,4,2,0,1,0,0,1,1,0,4,0,2,4,2,0,0,0,2,0,0,0,1,0,2,0,0,2.161,0,0,-3.124,0.726,0,0,2.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4,0,0,2,1,0,1,1,2,0,0,10,10,10,0,0,0,0,3,2,0,15,7,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,4,2,0,0,1,0,4.869,21.658,-3.27,Chelating Agents,2
1067,1068,400.622,11.128,4,4,2,0,0,0,3,27.8,5.6,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626,865,2.687,1364,3.14,2.524,4.081,1.839,3.253,1.917,0.667,1,22,5.4023,12.241,-1.918,0.007,5.782,7.612,7.293,198.856,0.62,1.824,0.802,1.454,0.75,2.245,3.743,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,4.953,3.708,12.633,-1,2.384,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.128,0,0,-4.681,0,0,0,2.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,8,0,0,13,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,1.845,13.7689722,-0.24,Chelating Agents,2
1012,1013,358.223,9.951,4,4,2,0,0,0,3,27.8,5.6,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.367,865,2.687,1364,3.122,2.524,7.789,1.839,3.253,1.917,0.667,1,22,5.3875,15.399,-2.35,0.007,3.634,7.612,5.997,314.741,0.83,1.673,0.788,1.182,0.738,2.191,3.64,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,4.953,3.708,12.633,-1,2.384,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.903,0,0,-4.512,0,0,0,2.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,8,0,0,13,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,1.845,13.7689722,-0.24,Chelating Agents,2
1139,1140,671.16,8.496,26,4,4,0,0,0,1,43,5.1,5.1,0,6,36,10,4,0,2,0,0,0,0,0,224.829,0,1.01,3036,2.803,402170,2.512,1.346,6.55,0.559,3.358,2.946,0.69,4.115,28.2177,2.0836,4.090693252,0.635739064,0.005,9.125,7.479,19.184,7.349,1.687,0.933,1.010017244,1.443,0.95,0.56,4.096,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.76,3.606,11.744,0.885,2.341,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,26,0,0,4,0,0,0,0,2,0,0,2.514,0,0,2.642,8.043,4.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,4,0,2,0,2,2,0,18,10,22,0,0,0,0,2,2,13,24,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,7.699,13.7689722,-3.75,Chelating Agents,2
963,964,350.46,6.872,9,3,2,0,0,0,0,35.3,3.9,9.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.984,921,2.292,3339,2.848,2.174,1.587,1.152,3.252,2.421,1.589,1.379,17.2393,3.2638,4.332,0.92,0.007,3.777,7.48,11.477,4.695,1.249,0.557,0.398,1.014,1.26,0.31,3.685,35.301,0,0,0,85.699,0,0,7.086,3.709,11.98,-1,2.369,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,-1.326,0,0,-2.795,2.702,0,0,1.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,3,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.369,8.394,-2.95,Chelating Agents,2
1070,1071,944.35,6.424,24,0,0,0,0,0,0,38.1,0,8.2,0,6,12,4,0,0,0,0,0,0,0,0,0,0,1.001,15148,3.852,1084709,1.664,0.713,5.28,0.305,2.748,4.452,2.179,2.891,30.1484,1.3591,9.096,1.376,0.001,3.832,4.835,36.218,15.634,1.178,1.023,1.471,1.16,1.303,1.007,3.916,18.40078477,10.07585933,12.86358422,11.05507456,343.552,0,0,7.047,3.724,7.051,1.678,0.86,4,0,0,0,0,0,0,0,4,7,0,0,17,0,0,8,0,0,33,0,0,0,0,0,7,0,0,0,0,6.813,0,0,0,10.288,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,1,9,0,0,9,19,33,0,0,0,0,0,0,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,8.908,13.7689722,-3.93,Chelating Agents,2
1129,1130,320.34,7.627,4,4,2,0,0,0,0,28.6,4.8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942,696,2.664,1305,2.859,2.55,0.956,1.569,3.076,2.317,1.286,1,21,4.4648,4.981,1.178,0.007,3.476,7.484,8.947,3.365,1.154,0.934,0.664,0.811,1.211,1.065,3.655,0,0,0,0,17.989,0,0,5.046,3.75,12.535,-1,2.375,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,-0.569,0,0,-4.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,4,4,0,0,0,0,0,2,0,1,4,0,2,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.618,1.359,-0.72,Chelating Agents,2
1043,1044,1171.22,8.022,40,8,2,0,0,0,0,39.7,1.4,16.4,0,7,9,2,2,2,0,0,0,0,0,857.516,0,0,0.869,23328,4.237,3054412,2.604,1.616,5.691,0.227,3.567,3.623,1.935,1.772,19.9335,1.1761,11.287,1.973,0.001,4.047,7.449,26.687,14.157,0.922,0.98,0.858,1.185,0.685,0.885,4.091,57.067,114.739,0,0,360.905,0,0,7.531,3.722,13.072,2.083,2.461,0,0,0,0,0,4,0,0,4,2,0,2,12,0,0,4,0,4,0,8,0,12,0,0,12,0,0,0,0,1.105,0,0,-6.336,2.872,2.069,0,4.047,0,0,12.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,10,6,22,10,19,0,0,28,28,28,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,1.368,36.019,-2.38,Chelating Agents,2
